time(s)	globalZ	gyroAngle
3.126	0.089895	331.478
3.145	0.012939	331.503
3.173	-0.119749	331.520
3.188	-0.156947	331.512
3.210	-0.146469	331.481
3.230	-0.157091	331.440
3.252	-0.132067	331.417
3.272	-0.113536	331.410
3.294	0.017511	331.421
3.315	0.072840	331.411
3.336	0.030326	331.380
3.359	0.054309	331.354
3.378	0.247008	331.339
3.400	0.418915	331.318
3.423	0.459766	331.219
3.443	0.151049	331.219
3.464	0.013151	331.113
3.485	0.106106	331.113
3.505	-0.047930	331.059
3.527	-0.360706	331.007
3.548	-0.407153	330.973
3.569	-0.186784	330.964
3.593	0.054785	330.963
3.612	0.293077	330.938
3.635	0.271350	330.885
3.654	0.083955	330.806
3.676	0.005533	330.683
3.696	0.287408	330.553
3.718	1.124692	330.488
3.739	0.739221	330.449
3.760	-0.311849	330.434
3.782	0.004146	330.296
3.802	-0.053249	329.796
3.824	-1.120493	329.120
3.845	-1.744215	328.674
3.868	0.862413	328.674
3.887	0.530977	328.095
3.909	0.418450	328.366
3.930	0.445235	328.458
3.952	0.956797	327.703
3.972	-0.398139	326.989
3.993	-0.662243	327.117
4.014	-0.821282	327.631
4.035	-1.022977	328.319
4.057	-0.244809	329.090
4.081	0.382779	329.519
4.101	0.448496	329.607
4.122	-3.189830	329.248
4.142	-0.856894	329.578
4.163	0.279806	330.741
4.184	-0.315059	331.858
4.205	-0.230428	332.524
4.226	-0.266071	332.633
4.248	-0.644733	332.582
4.269	0.756194	332.612
4.292	2.210978	332.674
4.312	1.060585	332.551
4.334	0.748918	332.114
4.353	0.187358	331.558
4.380	-0.455697	331.182
4.396	-0.126609	330.855
4.418	0.200834	330.557
4.438	0.053412	330.451
4.460	-0.281620	330.341
4.482	-0.315399	330.132
4.502	0.578348	329.963
4.523	0.427011	330.005
4.544	-0.270380	330.091
4.566	-0.313512	330.019
4.587	0.202380	329.721
4.609	0.166001	329.428
4.629	-0.324576	329.277
4.652	-0.460462	329.146
4.672	-0.197557	328.953
4.693	-0.291883	328.736
4.714	-0.540056	328.666
4.736	-0.438457	328.748
4.756	-0.295319	328.839
4.778	-0.093991	328.822
4.801	-0.003668	328.804
4.820	-0.027156	328.858
4.842	-0.138774	328.888
4.862	0.491651	328.888
4.885	0.176572	328.910
4.905	-0.031725	328.961
4.927	0.588635	329.015
4.947	0.595465	329.058
4.968	-0.104328	329.110
4.989	-0.393093	329.167
5.012	-0.219095	329.171
5.035	-0.393804	329.117
5.053	-0.225158	329.107
5.076	-0.076485	329.161
5.095	-0.007900	329.195
5.118	-0.142182	329.155
5.138	0.262781	329.108
5.159	0.402836	329.095
5.180	0.204629	329.099
5.202	-0.083025	329.086
5.223	-0.280430	329.113
5.244	0.219806	328.945
5.265	0.354638	328.952
5.286	0.563187	328.978
5.308	0.170383	328.952
5.328	-0.148539	328.997
5.350	-0.514533	329.115
5.372	-0.537260	329.228
5.393	-0.123524	329.292
5.413	-0.436956	329.370
5.435	0.011114	329.593
5.456	-0.018670	329.901
5.477	-0.206157	330.107
5.501	-0.000792	330.206
5.520	-0.238761	330.206
5.542	-0.445817	330.189
5.562	0.128427	330.145
5.584	0.531098	330.076
5.605	-0.011329	329.891
5.625	-0.359864	329.654
5.647	-0.443899	329.274
5.669	-0.069302	329.003
5.690	-0.034646	328.785
5.711	-0.034913	328.605
5.734	-0.357323	328.605
5.752	-0.253346	328.491
5.775	-0.062932	328.534
5.795	-0.095645	328.651
5.817	0.048678	328.775
5.837	0.395405	328.775
5.859	0.724078	329.085
5.880	0.463203	329.085
5.905	0.365250	329.171
5.922	0.219366	329.227
5.943	-0.029542	329.258
5.967	-0.068409	329.210
5.986	-0.325246	329.115
6.008	-0.200390	329.058
6.028	0.249144	329.076
6.050	0.287686	329.129
6.072	-0.108825	329.178
6.092	-0.311041	329.197
6.113	-0.300987	329.185
6.134	-0.193166	329.142
6.155	-0.196727	329.098
6.177	-0.250498	329.087
6.197	-0.179014	329.121
6.219	-0.024049	329.159
6.240	0.316393	329.155
6.262	0.189319	329.114
6.283	0.173308	329.065
6.304	-0.025492	329.040
6.325	-0.217368	329.040
6.346	-0.213719	329.055
6.367	-0.078553	329.084
