time(s)	globalZ	gyroAngle	pitch
0.023	0.367880	0.000	-36.245
0.029	0.469096	0.132	-36.032
0.048	-0.007233	0.232	-36.091
0.068	0.100895	0.249	-36.413
0.090	0.100078	0.197	-36.678
0.109	-0.327778	0.097	-37.066
0.129	-0.352574	0.040	-37.223
0.149	-0.044588	0.010	-37.256
0.169	-0.026080	0.041	-37.224
0.190	-0.199723	0.028	-37.193
0.210	0.334681	359.771	-37.245
0.230	-0.175744	359.104	-37.445
0.250	0.118876	358.763	-37.544
0.269	0.175941	358.712	-37.568
0.290	0.141324	358.807	-37.581
0.309	-0.023016	358.700	-37.676
0.329	-0.178160	358.528	-37.782
0.350	-0.075164	358.471	-37.874
0.370	0.047793	358.545	-37.886
0.390	0.240025	358.707	-37.860
0.410	0.088637	358.781	-37.827
0.430	-0.169078	358.820	-37.793
0.450	-0.068632	358.827	-37.800
0.470	-0.056479	358.847	-37.861
0.490	-0.111457	358.875	-37.910
0.510	-0.135010	358.917	-37.923
0.530	-0.055949	358.898	-37.891
0.550	-0.219214	358.839	-37.822
0.570	-0.278115	358.826	-37.784
0.590	-0.003708	358.776	-37.747
0.610	0.034665	358.674	-37.713
0.630	0.072338	358.444	-37.601
0.651	0.260017	358.261	-37.490
0.670	0.935101	357.997	-37.306
0.691	-0.020984	357.805	-37.156
0.710	-0.450542	357.689	-37.010
0.731	-0.379207	357.610	-36.962
0.751	-0.033163	357.440	-37.047
0.771	0.195885	357.406	-37.114
0.790	0.022517	357.345	-37.218
0.812	-0.136735	357.319	-37.305
0.830	0.086790	357.324	-37.428
0.852	0.358596	357.330	-37.492
0.871	0.169260	357.308	-37.535
0.891	-0.095238	357.252	-37.531
0.911	-0.159612	357.122	-37.507
0.931	-0.378384	357.046	-37.497
0.950	-0.200455	356.968	-37.524
0.973	-0.111381	356.906	-37.577
0.991	-0.366560	356.806	-37.691
1.010	-0.444565	356.704	-37.789
1.030	-0.228538	356.459	-37.888
1.050	-0.208543	356.267	-37.938
1.070	-0.304013	356.051	-38.029
1.091	-0.417048	355.936	-38.112
1.110	-0.388428	355.744	-38.313
1.131	-0.406307	355.672	-38.513
1.151	-0.229681	355.777	-38.806
1.171	-0.143810	356.007	-38.931
1.191	-0.450866	356.409	-38.980
1.211	-0.554243	356.611	-38.947
1.232	-0.247521	356.800	-38.864
1.252	0.105388	356.826	-38.669
1.271	0.372007	356.935	-38.258
1.291	0.433943	356.948	-37.950
1.311	0.247820	356.729	-37.569
1.331	0.237689	356.514	-37.409
1.351	0.053912	356.323	-37.295
1.372	-0.272814	356.341	-37.268
1.392	-0.425763	356.492	-37.223
1.412	-0.360676	356.582	-37.165
1.431	-0.431555	356.658	-37.217
1.452	-0.664950	356.707	-37.315
1.472	-0.445219	356.810	-37.258
1.492	-0.116821	356.887	-37.189
1.512	-0.022564	357.068	-37.374
1.532	-0.141060	357.190	-37.508
1.552	-0.044057	357.321	-37.741
1.572	0.059503	357.442	-37.922
1.592	0.175706	357.807	-38.227
1.612	0.129588	358.144	-38.447
1.632	0.062565	358.636	-38.721
1.652	0.071466	358.893	-38.888
1.671	0.612686	359.149	-39.139
1.692	1.535700	359.246	-39.292
1.712	2.282079	359.433	-39.458
1.732	2.722887	359.614	-39.521
1.751	3.140912	359.931	-39.631
1.771	3.140284	0.074	-39.785
1.791	2.671780	0.199	-40.142
1.812	2.507252	0.341	-40.355
1.831	2.403458	0.566	-40.576
1.852	2.289082	0.678	-40.751
1.872	1.148044	0.919	-41.195
1.892	-1.140525	1.209	-41.660
1.912	-2.824990	1.851	-42.616
1.932	-3.587858	2.317	-43.334
1.952	-3.329347	3.060	-44.247
1.973	-3.033625	3.775	-44.693
1.992	-2.892269	4.919	-44.952
2.012	-2.390198	5.478	-44.890
2.032	-1.203142	5.860	-44.527
2.052	-0.536442	5.875	-44.189
2.072	-0.451480	5.769	-43.728
2.093	-0.768415	5.700	-43.510
2.113	-1.225428	5.658	-43.383
2.132	-1.583462	5.697	-43.425
2.152	-1.641431	5.939	-43.618
2.172	-1.635068	6.194	-43.776
2.193	-1.308048	6.595	-43.903
2.213	-0.553559	6.744	-43.813
2.232	0.172767	6.651	-43.403
2.252	0.891530	6.416	-43.035
2.292	1.523926	5.994	-42.532
2.294	2.092142	5.717	-42.305
2.312	2.311869	5.291	-42.275
2.332	2.463628	5.055	-42.492
2.352	2.741935	4.800	-43.035
2.372	3.232872	4.613	-43.432
2.392	2.478259	4.083	-44.002
2.412	2.373484	3.498	-44.363
2.432	2.333744	2.677	-44.804
2.453	1.424064	2.438	-45.006
2.472	0.465298	2.870	-45.137
2.493	-0.250560	3.588	-45.113
2.513	-0.965721	4.972	-45.024
2.532	-2.500013	5.813	-45.007
2.552	-3.904884	6.141	-45.079
2.573	-3.550144	5.595	-45.230
2.593	-2.194183	4.212	-45.518
2.613	-1.253346	3.335	-45.637
2.632	-1.189217	2.675	-45.688
2.653	-1.443536	2.602	-45.655
2.673	-1.547026	2.633	-45.457
2.693	-1.175934	2.552	-45.178
2.712	-0.796570	2.131	-44.604
2.732	-0.583443	1.702	-44.198
2.753	-0.695761	1.011	-43.724
2.772	-1.114597	0.656	-43.572
2.792	-1.232750	0.257	-43.621
2.813	-0.799151	359.968	-43.775
2.833	-0.638611	359.530	-43.995
2.853	-0.617178	359.381	-44.063
2.873	-0.009978	359.358	-44.043
2.893	1.063626	359.272	-43.989
2.931	2.321014	358.840	-43.915
2.939	3.117225	358.495	-43.900
2.953	3.386730	358.241	-43.901
2.972	3.697462	358.312	-43.909
2.994	4.292185	358.371	-44.146
3.013	3.768623	358.157	-44.613
3.032	3.175041	357.580	-45.673
3.053	1.982139	357.333	-46.412
3.073	0.764667	357.384	-47.243
3.093	0.016920	357.680	-47.488
3.112	-0.928484	358.233	-47.532
3.133	-2.535710	358.504	-47.617
3.153	-4.102535	358.684	-48.056
3.173	-4.486162	358.703	-48.433
3.193	-3.501266	358.872	-48.953
3.213	-2.804778	359.076	-49.066
3.233	-2.703886	359.523	-48.907
3.254	-2.333452	359.916	-48.576
3.273	-1.707038	0.524	-47.733
3.293	-1.042888	0.872	-47.030
3.313	-0.582412	1.297	-45.969
3.333	-0.646011	1.516	-45.374
3.353	-0.997533	1.819	-44.777
3.373	-0.846523	2.052	-44.546
3.393	-0.353951	2.387	-44.354
3.413	0.033625	2.595	-44.306
3.433	0.248104	2.893	-44.254
3.453	0.456919	3.022	-44.162
3.488	0.831809	3.145	-43.948
3.496	1.488584	3.199	-43.803
3.512	2.199816	3.336	-43.675
3.533	2.443243	3.481	-43.650
3.554	2.607032	3.399	-43.748
3.573	3.385371	3.025	-43.922
3.593	4.024233	2.038	-44.224
3.613	4.903291	1.497	-44.315
3.633	4.186278	1.670	-44.253
3.654	1.835285	2.517	-44.277
3.673	-0.779411	3.927	-44.784
3.693	-2.882046	4.494	-45.432
3.714	-4.110888	4.612	-46.582
3.733	-4.248770	4.487	-47.157
3.753	-3.132746	4.344	-47.727
3.773	-2.691708	4.478	-47.819
3.794	-2.970696	5.015	-47.682
3.813	-3.238844	5.314	-47.493
3.833	-2.807131	5.345	-47.023
3.854	-1.932740	4.976	-46.529
3.874	-1.319806	4.026	-45.577
3.894	-0.716342	3.338	-44.883
3.914	-0.409171	2.518	-43.934
3.934	-0.478025	2.196	-43.446
3.954	-0.685170	1.946	-42.994
3.974	-0.852559	1.796	-42.863
3.993	-0.511485	1.650	-42.745
4.014	0.302863	1.578	-42.622
4.034	1.537954	1.492	-42.331
4.068	2.628279	1.513	-42.065
4.073	3.677105	1.753	-41.550
4.094	4.229004	1.989	-41.177
4.114	4.417830	2.176	-40.866
4.134	3.900043	2.188	-40.856
4.154	4.200228	2.328	-40.784
4.174	4.198176	2.500	-40.594
4.194	3.663783	2.760	-40.287
4.215	1.979733	2.941	-40.262
4.234	-0.948935	3.236	-40.796
4.254	-3.733972	3.466	-41.570
4.274	-4.925056	3.953	-42.983
4.294	-4.783416	4.267	-43.680
4.315	-4.540039	4.773	-44.251
4.334	-3.988668	5.137	-44.216
4.354	-2.784200	5.699	-43.581
4.374	-1.594334	5.949	-42.885
4.393	-0.651584	6.155	-41.744
4.414	-0.197058	6.253	-41.081
4.434	-0.632653	6.403	-40.411
4.454	-1.024422	6.541	-40.210
4.474	-0.989159	6.837	-40.127
4.494	-1.135188	7.059	-40.158
4.514	-1.411884	7.215	-40.280
4.534	-1.479494	7.109	-40.357
4.554	-0.952790	6.621	-40.310
4.574	0.735131	6.155	-40.100
4.594	2.520681	5.489	-39.552
4.630	3.576418	5.113	-39.204
4.633	3.509374	4.809	-39.052
4.654	3.916772	4.688	-39.181
4.674	4.157195	4.200	-39.648
4.695	3.682127	3.561	-40.150
4.714	3.702470	2.601	-40.849
4.734	3.875129	2.310	-41.030
4.755	2.786551	2.842	-40.957
4.775	0.084039	3.633	-41.062
4.794	-2.937264	4.767	-41.854
4.814	-4.607714	5.101	-42.669
4.835	-4.631975	5.038	-43.747
4.855	-3.639639	4.901	-44.208
4.874	-3.023483	4.918	-44.294
4.894	-3.075585	5.031	-44.074
4.915	-3.199510	5.123	-43.607
4.935	-2.998386	5.023	-43.301
4.954	-2.683547	4.607	-42.848
4.975	-2.274681	4.227	-42.500
4.995	-2.142440	3.668	-41.911
5.015	-2.242969	3.330	-41.520
5.035	-2.016670	2.873	-40.968
5.055	-0.927288	2.590	-40.613
5.074	0.059120	2.302	-40.071
5.095	0.895100	2.278	-39.699
5.126	2.278205	2.479	-39.084
5.135	3.753097	2.611	-38.653
5.154	4.682115	2.695	-38.035
5.174	5.327867	2.652	-37.779
5.194	7.166204	2.322	-37.766
5.215	7.378042	1.842	-38.071
5.234	5.795264	0.907	-38.951
5.255	4.206533	0.498	-39.613
5.274	3.207987	0.479	-40.276
5.295	1.745273	0.735	-40.545
