time(s)	globalZ	gyroAngle	pitch
0.019	0.027361	0.107	-42.833
0.029	0.017900	0.107	-42.833
0.049	-0.237206	359.995	-42.664
0.068	-0.057683	359.877	-42.636
0.089	-0.249226	359.738	-42.654
0.109	-0.212354	359.658	-42.713
0.130	0.283894	359.419	-42.871
0.149	0.505100	359.209	-42.990
0.169	0.465359	359.115	-43.159
0.190	-0.083992	359.115	-43.159
0.210	-0.240272	359.187	-43.213
0.229	-0.044285	359.143	-43.238
0.250	0.100171	359.068	-43.360
0.269	0.045503	359.068	-43.360
0.290	-0.023054	359.178	-43.489
0.309	0.054921	359.178	-43.489
0.330	-0.183167	359.237	-43.482
0.350	-0.203682	359.285	-43.478
0.371	-0.458918	359.336	-43.411
0.389	-0.464939	359.303	-43.382
0.410	-0.167566	359.231	-43.368
0.430	-0.188353	359.098	-43.391
0.450	0.183123	359.098	-43.391
0.470	-0.128175	358.788	-43.462
0.490	-0.315158	358.094	-44.189
0.511	-0.612542	357.931	-44.553
0.530	-1.018612	357.931	-44.553
0.549	-1.168480	357.808	-44.934
0.570	-0.640852	357.993	-44.848
0.590	-0.178716	357.993	-44.848
0.611	-0.062880	358.441	-44.105
0.629	0.040815	358.533	-43.831
0.650	0.150117	358.534	-43.476
0.670	0.708419	358.534	-43.476
0.690	1.377206	358.443	-43.251
0.710	1.365136	358.175	-42.948
0.730	0.921006	357.504	-42.912
0.750	0.331788	357.504	-42.912
0.771	-0.016069	357.333	-43.106
0.790	-0.086730	357.306	-43.403
0.810	-0.336335	357.735	-43.632
0.830	-0.423448	357.873	-43.696
0.851	-0.215075	357.873	-43.696
0.869	-0.231345	357.997	-43.996
0.890	-0.403817	358.218	-44.221
0.910	-0.225209	358.218	-44.221
0.931	-0.459172	358.850	-44.440
0.950	-0.402158	358.850	-44.440
0.970	-0.469352	359.378	-44.480
0.991	-0.511601	359.378	-44.480
1.011	-0.382844	0.049	-44.855
1.029	-0.107364	0.371	-44.930
1.050	0.102013	0.876	-45.016
1.070	-0.074933	1.177	-45.094
1.091	-0.342656	1.177	-45.094
1.110	-0.458328	1.534	-45.252
1.130	-0.061623	1.884	-45.625
1.151	0.058103	1.884	-45.625
1.170	0.071601	2.069	-46.283
1.190	0.112432	2.023	-46.579
1.210	0.386834	1.837	-47.043
1.230	0.569244	1.837	-47.043
1.251	0.858362	1.653	-47.227
1.270	1.374984	1.339	-47.279
1.290	1.809609	1.001	-47.341
1.310	1.913374	1.022	-47.448
1.339	1.650326	1.022	-47.448
1.351	1.562691	1.160	-47.630
1.370	1.538501	1.446	-47.257
1.390	1.554578	1.369	-47.071
1.410	1.813316	1.369	-47.071
1.429	1.720779	0.921	-47.128
1.450	1.036273	0.075	-48.567
1.470	0.263149	0.075	-48.567
1.490	-0.376497	0.280	-50.475
1.509	-0.875404	0.280	-50.475
1.530	-1.511328	1.008	-51.769
1.551	-2.038069	1.423	-52.149
1.571	-2.389038	1.423	-52.149
1.589	-2.695829	2.549	-53.069
1.610	-2.735946	2.549	-53.069
1.630	-2.488538	3.093	-53.479
1.650	-2.090053	3.423	-53.582
1.670	-1.677584	4.385	-53.068
1.690	-1.129752	4.778	-52.463
1.710	-0.389421	4.795	-52.119
1.731	0.426060	4.795	-52.119
1.749	1.152372	4.587	-51.685
1.793	1.327713	4.281	-50.898
1.795	0.908042	4.281	-50.898
1.809	0.233318	4.319	-50.770
1.830	-0.260313	4.697	-51.091
1.850	-0.193290	5.136	-51.350
1.870	-0.630611	5.595	-51.405
1.890	-0.773754	6.290	-51.234
1.910	-0.877060	6.290	-51.234
1.930	-0.711297	6.747	-50.581
1.951	-0.284742	6.602	-50.246
1.970	0.353540	6.602	-50.246
1.989	0.745838	6.166	-49.789
2.010	0.887348	5.158	-49.552
2.030	0.776097	4.773	-49.695
2.050	0.653988	4.773	-49.695
2.069	0.285163	4.407	-50.272
2.090	-0.134013	4.528	-50.571
2.110	-0.466023	4.528	-50.571
2.130	-0.740880	4.595	-50.708
2.149	-0.765526	4.726	-50.940
2.170	-0.758410	4.821	-51.024
2.190	-0.550652	4.798	-51.071
2.210	0.095106	4.798	-51.071
2.229	0.756548	4.129	-51.291
2.250	1.245361	3.749	-51.219
2.270	1.897039	3.749	-51.219
2.290	2.175754	3.695	-50.891
2.309	2.052216	3.695	-50.891
2.329	1.862501	3.505	-51.137
2.350	1.779696	3.505	-51.137
2.370	1.600983	3.237	-51.153
2.389	1.922076	3.295	-50.987
2.409	2.106267	3.460	-50.792
2.447	1.937360	3.460	-50.792
2.449	0.695073	3.541	-50.941
2.469	-0.807835	3.820	-52.781
2.490	-1.554031	4.224	-54.239
2.511	-2.278113	4.224	-54.239
2.530	-2.048205	4.533	-54.976
2.549	-2.306508	5.932	-56.127
2.570	-2.617697	7.036	-56.365
2.590	-2.692807	7.648	-56.379
2.610	-2.301292	7.648	-56.379
2.630	-1.376860	8.213	-56.076
2.650	-0.704771	8.358	-55.683
2.670	-0.680469	8.538	-55.303
2.690	-0.769752	8.538	-55.303
2.709	-0.787231	8.502	-54.182
2.729	-0.463892	7.808	-53.702
2.750	-0.026896	7.808	-53.702
2.770	0.040970	7.226	-53.513
2.789	-0.201636	6.201	-53.175
2.810	-0.621254	6.108	-52.806
2.830	-0.917862	6.150	-52.523
2.849	-1.018527	6.150	-52.523
2.869	-0.908616	6.115	-52.106
2.889	-0.600086	5.494	-51.291
2.910	-0.315750	5.162	-50.919
2.930	-0.279014	5.162	-50.919
2.949	0.022613	4.178	-50.055
2.970	0.328091	3.337	-49.571
3.008	0.651204	2.740	-49.268
3.011	0.691581	1.981	-48.885
3.029	0.586349	1.608	-48.709
3.050	0.595396	1.608	-48.709
3.071	0.796145	1.087	-48.617
3.090	0.304425	1.087	-48.617
3.110	0.042874	1.013	-48.698
3.129	-0.285415	1.264	-48.848
3.150	-0.261930	1.395	-48.898
3.169	0.240904	1.395	-48.898
3.189	0.578584	1.563	-48.962
3.209	0.913696	1.873	-48.857
3.229	1.348188	1.873	-48.857
3.249	1.810240	2.037	-48.677
3.270	2.068895	2.153	-48.368
3.289	1.993598	2.004	-48.324
3.309	1.543048	2.004	-48.324
3.330	1.759967	1.801	-48.195
3.349	2.438115	1.345	-47.748
3.369	2.646407	0.908	-47.457
3.389	2.327774	0.082	-47.426
3.409	1.193518	359.463	-47.844
3.429	0.248328	358.692	-49.019
3.449	-0.503890	358.655	-51.284
3.469	-1.200999	358.655	-51.284
3.489	-2.024915	0.120	-53.408
3.508	-2.849592	0.991	-54.134
3.529	-3.481880	2.466	-54.984
3.549	-3.621143	3.407	-55.275
3.569	-3.611776	4.533	-55.249
3.589	-3.382928	5.040	-54.949
3.609	-2.725904	5.249	-54.130
3.629	-2.018539	5.249	-54.130
3.649	-1.210035	3.981	-52.374
3.668	-0.241166	3.256	-51.705
3.688	0.424239	2.447	-50.755
3.709	0.941512	2.217	-50.113
3.730	0.858999	2.217	-50.113
3.748	0.353103	2.304	-48.690
3.786	-0.380503	2.548	-48.145
3.789	-0.897646	2.764	-47.867
3.809	-0.978649	2.764	-47.867
3.828	-0.722338	3.095	-47.403
3.848	-0.990569	3.409	-46.386
3.869	-0.539411	3.338	-45.944
3.890	-0.162455	2.977	-45.263
3.909	0.617357	2.585	-44.810
3.929	1.532552	1.891	-44.179
3.949	2.372653	1.891	-44.179
3.969	2.508563	1.362	-43.833
3.988	2.295089	0.562	-43.667
4.009	1.810004	359.599	-44.195
4.029	1.270240	359.599	-44.195
4.049	0.923366	359.469	-44.555
4.068	0.682511	359.661	-45.493
4.089	0.560778	359.790	-45.940
4.109	0.745745	359.842	-46.100
4.129	1.443758	359.842	-46.100
4.149	2.057028	359.851	-46.173
4.168	2.176958	359.875	-46.625
4.189	1.628639	0.113	-46.984
4.209	1.442105	0.113	-46.984
4.228	1.354956	1.302	-47.663
4.248	1.245174	2.094	-48.123
4.268	1.049813	2.094	-48.123
4.289	0.392969	2.555	-48.589
4.308	-0.362589	3.799	-50.261
4.328	-0.937631	4.799	-51.330
4.348	-1.322624	5.550	-51.936
4.368	-1.557599	6.776	-52.751
4.388	-1.767775	6.776	-52.751
4.408	-2.093232	7.632	-53.251
4.428	-2.357118	9.541	-54.406
4.448	-2.428197	10.217	-54.972
4.468	-2.461238	10.217	-54.972
4.488	-2.470390	10.631	-55.471
4.508	-2.219332	10.575	-55.465
4.529	-1.984883	10.286	-55.257
4.548	-1.761489	10.018	-54.976
4.568	-1.421952	9.531	-54.286
4.588	-0.749726	9.531	-54.286
4.608	-0.248901	9.157	-53.651
4.627	0.181673	7.854	-51.888
4.648	0.165509	6.907	-51.055
4.668	0.127056	6.279	-50.635
4.705	-0.018484	5.483	-50.124
4.708	-0.417963	5.076	-49.841
4.727	-0.726086	4.577	-49.427
4.748	-0.812110	4.577	-49.427
4.768	-0.959043	4.320	-49.087
4.787	-0.196206	3.965	-47.959
4.808	0.007223	3.768	-47.273
4.828	0.143971	3.576	-46.854
4.848	0.582703	3.576	-46.854
4.867	1.269680	3.199	-46.262
4.888	1.554223	2.548	-45.348
4.908	1.400119	2.548	-45.348
4.928	0.987271	2.188	-45.073
4.947	0.653008	2.134	-45.158
4.967	0.619320	2.134	-45.158
4.988	0.536538	2.251	-45.420
5.008	0.382377	2.410	-45.613
5.027	0.279275	2.521	-45.787
5.047	0.299995	2.666	-46.084
5.068	0.643798	2.666	-46.084
5.088	1.402330	2.726	-46.254
5.107	2.103873	2.689	-46.391
5.127	2.217102	2.500	-46.410
5.147	2.381181	2.500	-46.410
5.167	2.800094	2.352	-46.342
5.187	3.190557	2.043	-46.088
5.207	3.064560	0.972	-46.209
5.227	2.193236	0.382	-46.827
5.248	0.910789	359.583	-48.290
5.267	-0.175549	359.583	-48.290
5.287	-1.377624	359.273	-51.282
5.308	-2.578758	359.634	-52.408
5.327	-3.516656	0.766	-53.874
5.347	-4.351273	1.976	-54.729
5.367	-5.184904	4.260	-55.598
5.388	-5.328856	5.885	-55.826
5.407	-4.439218	7.823	-55.434
5.427	-3.214251	7.823	-55.434
5.447	-2.215665	8.403	-53.132
5.467	-0.695895	7.840	-52.066
5.487	0.760889	7.840	-52.066
5.507	1.847144	5.534	-50.199
5.527	2.383402	4.545	-49.422
5.547	1.817860	4.545	-49.422
5.582	0.641071	4.379	-49.051
5.589	-0.346133	4.790	-48.713
5.606	-0.993145	5.824	-48.503
5.627	-1.387478	5.824	-48.503
