time(s)	globalZ	gyroAngle
3.257	0.000513	0.000
3.257	-0.009438	359.909
3.257	0.029988	359.898
3.258	-0.007656	359.953
3.258	0.002529	0.001
3.259	-0.043481	0.023
3.259	-0.121513	0.053
3.259	-0.110195	0.112
3.260	0.037062	0.170
3.260	0.182918	0.193
3.261	0.193890	0.186
3.261	0.084645	0.164
3.261	0.000672	0.144
3.262	-0.031130	0.139
3.262	-0.021329	0.147
3.263	-0.039036	0.126
3.263	-0.075399	0.052
3.264	-0.212740	359.957
3.264	-0.302548	359.897
3.265	-0.148596	359.911
3.265	0.042093	359.994
3.265	0.148289	0.034
3.265	0.099014	359.975
3.266	-0.021926	359.876
3.266	-0.097376	359.812
3.266	0.016558	359.813
3.267	0.204323	359.814
3.267	0.164703	359.762
3.267	0.029164	359.703
3.267	-0.021445	359.695
3.268	-0.143008	359.758
3.268	-0.224559	359.818
3.268	-0.126505	359.828
3.268	0.032314	359.838
3.269	0.132066	359.874
3.269	0.172854	359.920
3.298	0.105988	359.920
3.325	0.025732	359.953
3.325	-0.034916	0.003
3.346	-0.064484	0.003
3.367	-0.029588	0.052
3.392	0.089462	0.091
3.410	0.093954	0.096
3.432	0.033182	0.056
3.453	0.002523	0.000
3.474	0.039805	359.973
3.498	-0.026116	359.975
3.517	-0.009087	359.946
3.539	0.084951	359.896
3.561	0.215222	359.860
3.583	0.156035	359.860
3.604	0.010939	359.860
3.624	-0.061273	359.860
3.647	-0.062553	359.860
3.667	-0.007130	359.844
3.696	0.020697	359.852
3.710	-0.102008	359.898
3.731	-0.184879	359.944
3.752	-0.234041	359.968
3.774	-0.070764	359.961
3.796	0.044637	359.943
3.816	0.060335	359.946
3.838	-0.060687	359.952
3.861	-0.045945	359.930
3.882	0.115537	359.889
3.904	0.178931	359.856
3.923	0.084909	359.825
3.946	0.105929	359.778
3.966	0.076093	359.729
3.988	-0.038863	359.693
4.009	-0.158897	359.697
4.031	-0.173747	359.734
4.053	-0.118268	359.751
4.073	0.030076	359.706
4.095	0.127039	359.620
4.116	0.157568	359.547
4.137	0.089504	359.523
4.159	0.033099	359.525
4.181	0.019143	359.506
4.203	-0.086375	359.440
4.223	-0.194140	359.268
4.244	-0.236543	359.268
4.267	-0.087366	359.226
4.288	0.109846	359.206
4.308	0.155235	359.178
4.330	0.090474	359.129
4.352	0.086781	359.074
4.374	-0.032517	359.043
4.394	-0.122915	359.031
4.415	-0.164362	358.991
4.437	-0.135101	358.991
4.460	-0.099462	358.976
4.479	-0.065617	358.977
4.502	0.010837	359.001
4.522	0.131710	359.026
4.545	0.236193	359.029
4.565	0.176569	359.035
4.586	0.057629	359.069
4.609	-0.087661	359.138
4.630	-0.073773	359.210
4.651	-0.053062	359.244
4.672	-0.055211	359.242
4.694	-0.097409	359.236
4.717	-0.119300	359.266
4.736	-0.123999	359.348
4.759	-0.097458	359.441
4.779	0.006057	359.482
4.803	0.065516	359.487
4.822	0.153072	359.494
4.843	0.203567	359.504
4.864	0.117121	359.510
4.887	0.001225	359.484
4.907	0.013337	359.415
4.928	0.141153	359.321
4.950	0.116309	359.226
4.972	-0.100471	359.141
4.992	-0.243077	359.088
5.016	-0.333298	359.090
5.035	-0.214115	359.134
5.058	-0.061084	359.196
5.078	-0.011124	359.237
5.101	0.003495	359.239
5.124	0.002663	359.215
5.144	0.096035	359.182
5.166	0.116169	359.180
5.185	0.070113	359.212
5.210	0.103404	359.236
5.229	0.027402	359.220
5.249	-0.026278	359.048
5.270	-0.026123	359.048
5.292	-0.163406	359.030
5.314	-0.223577	359.101
5.335	-0.188824	359.182
5.356	0.015303	359.205
5.378	0.075548	359.190
5.399	0.012774	359.190
5.423	-0.023866	359.237
5.442	0.117479	359.295
5.464	0.223333	359.307
5.484	0.151797	359.268
5.506	0.043573	359.216
5.527	-0.045292	359.171
5.549	-0.092574	359.171
5.573	-0.055259	359.172
5.591	-0.065964	359.172
5.614	-0.142098	359.161
5.635	-0.160114	359.179
5.656	0.030551	359.179
5.677	0.244890	359.193
5.698	0.247142	359.169
5.722	0.062543	359.126
5.742	-0.033301	359.101
5.764	-0.000262	359.112
5.784	0.025452	359.146
5.805	-0.019261	359.168
5.827	-0.040116	359.166
5.848	0.001675	359.136
5.870	-0.026231	359.094
5.891	-0.118968	359.088
5.913	-0.026464	359.122
5.934	0.006270	359.186
5.955	0.038787	359.186
5.976	0.116913	359.198
5.998	0.098046	359.202
6.021	-0.071340	359.217
6.042	-0.106850	359.255
6.062	-0.080643	359.307
6.083	-0.040583	359.363
6.104	0.012827	359.403
6.127	0.130517	359.418
6.147	0.226390	359.420
6.169	0.208085	359.408
6.191	0.124777	359.327
6.212	-0.066535	359.327
6.233	-0.351665	359.406
6.254	-0.422028	359.406
6.277	-0.254319	359.535
6.297	0.031894	359.535
6.320	0.279937	359.523
6.344	0.220909	359.500
6.362	0.001584	359.502
6.383	-0.036718	359.507
6.404	0.069507	359.503
6.433	0.020613	359.499
6.447	-0.095394	359.477
