time(s)	globalZ	gyroAngle
2.478	-0.259643	0.000
2.499	-0.319413	0.024
2.519	-0.343769	0.024
2.541	-0.151386	0.027
2.562	0.182915	0.027
2.584	0.312842	0.026
2.605	0.132568	0.009
2.626	-0.041929	0.009
2.647	0.020520	359.996
2.672	0.145530	359.980
2.690	0.158997	359.973
2.713	0.053335	359.976
2.734	-0.294846	359.836
2.757	-0.470794	359.836
2.777	0.066832	359.750
2.799	0.473717	359.716
2.819	0.593132	359.713
2.841	0.315134	359.718
2.863	-0.124742	359.704
2.883	-0.167502	359.661
2.904	-0.032228	359.635
2.926	0.010810	359.642
2.947	-0.008840	359.650
2.970	-0.074395	359.656
2.990	-0.060916	359.669
3.012	0.211202	359.699
3.033	0.205010	359.732
3.054	-0.017044	359.761
3.076	-0.216037	359.779
3.099	-0.324138	359.805
3.120	-0.364647	359.816
3.141	-0.377108	359.789
3.161	-0.210067	359.749
3.182	0.234589	359.727
3.204	0.392111	359.723
3.226	0.187145	359.723
3.246	-0.030470	359.699
3.269	-0.220168	359.656
3.289	-0.282899	359.601
3.310	-0.203202	359.558
3.332	0.039032	359.547
3.353	0.218159	359.559
3.376	0.262863	359.563
3.398	0.063134	359.553
3.418	-0.151531	359.561
3.439	-0.150356	359.594
3.460	-0.015424	359.623
3.481	-0.007164	359.633
3.503	-0.036347	359.638
3.525	-0.070210	359.673
3.545	-0.084641	359.725
3.567	-0.026926	359.754
3.588	0.107491	359.740
3.610	0.210647	359.695
3.633	0.154036	359.669
3.653	-0.056071	359.671
3.674	-0.313638	359.675
3.696	-0.258101	359.682
3.718	-0.040684	359.700
3.738	0.156677	359.723
3.760	0.205674	359.723
3.783	0.099566	359.674
3.802	-0.045040	359.594
3.824	-0.017942	359.522
3.845	0.063525	359.488
3.867	-0.042023	359.489
3.889	-0.226650	359.502
3.910	-0.206275	359.529
3.932	0.085953	359.584
3.952	0.319050	359.659
3.973	0.219592	359.735
3.995	-0.074846	359.793
4.017	-0.324913	359.871
4.040	-0.198221	359.981
4.059	-0.035529	0.101
4.081	0.087456	0.190
4.102	-0.035876	0.227
4.123	-0.284786	0.260
4.144	-0.319372	0.351
4.166	0.019410	0.469
4.189	0.344253	0.509
4.209	0.245498	0.463
4.230	-0.189814	0.438
4.252	-0.575993	0.491
4.273	-0.478240	0.576
4.296	0.183645	0.609
4.316	0.484023	0.594
