time(s)	globalZ	gyroAngle	pitch
0.013	0.506893	0.000	-19.357
0.029	0.534731	359.727	-19.138
0.051	-0.168168	359.578	-19.078
0.072	-0.323414	359.515	-19.163
0.093	-0.251918	359.487	-19.372
0.114	-0.389871	359.465	-19.665
0.135	-0.794298	359.345	-19.860
0.157	-0.619981	359.070	-19.779
0.178	0.261946	358.771	-19.546
0.199	0.687608	358.688	-19.404
0.221	0.545197	358.769	-19.608
0.242	-0.419261	358.712	-20.126
0.262	-0.779387	358.518	-20.779
0.284	-0.590239	358.475	-21.507
0.305	-0.158774	358.694	-22.174
0.326	-0.216210	359.070	-22.794
0.348	-0.216069	359.414	-23.480
0.369	-0.264576	0.120	-24.323
0.391	-0.243604	1.083	-24.989
0.412	0.070046	1.640	-25.120
0.433	1.458267	1.694	-24.881
0.454	-0.596914	2.038	-24.898
0.475	-0.810218	2.639	-25.325
0.496	-0.461503	2.984	-25.588
0.518	-0.378812	3.001	-25.548
0.538	-0.531066	3.094	-25.080
0.560	0.294261	3.330	-24.291
0.582	0.669038	3.617	-23.675
0.602	-0.200967	3.901	-23.414
0.624	-0.120752	4.617	-23.454
0.644	1.354337	4.617	-23.454
0.666	0.685724	3.937	-23.243
0.686	0.651459	3.377	-23.003
0.708	0.562911	2.742	-22.788
0.729	0.636773	2.287	-22.484
0.752	0.728046	1.893	-22.165
0.771	0.879162	1.457	-22.042
0.793	0.476519	1.100	-22.021
0.814	-0.087828	0.826	-21.858
0.835	-0.213837	0.432	-21.567
0.857	-0.228356	359.769	-21.194
0.878	-0.243537	358.998	-20.707
0.899	-0.463516	358.360	-20.210
0.922	-0.278169	358.155	-20.011
0.942	-0.503798	358.218	-20.155
0.962	-0.498401	358.146	-20.334
0.984	-0.301069	357.954	-20.409
1.006	-0.214232	357.768	-20.445
1.027	-0.366852	357.651	-20.497
1.048	-0.572658	357.574	-20.541
1.068	-0.516433	357.546	-20.540
1.090	-0.412046	357.591	-20.444
1.113	-0.633672	357.665	-20.112
1.132	-0.894107	357.665	-20.112
1.153	-0.885951	357.665	-20.040
1.174	-0.539493	357.693	-19.943
1.196	-0.552062	357.719	-19.677
1.217	-0.350837	357.747	-19.276
1.238	0.274528	357.848	-18.877
1.260	0.569678	358.010	-18.621
1.282	0.342484	358.120	-18.473
1.312	0.672490	358.158	-18.407
1.322	0.758232	358.094	-18.575
1.344	0.523199	357.943	-18.948
