time(s)	globalZ	gyroAngle	pitch
0.009	0.790780	359.965	-11.033
0.027	0.083190	359.965	-11.033
0.049	-0.016592	359.929	-10.703
0.070	0.017390	359.923	-10.596
0.091	-0.072702	359.927	-10.622
0.112	-0.264884	359.871	-10.685
0.134	-0.178971	359.745	-10.735
0.158	0.239223	359.566	-10.747
0.178	0.090181	359.296	-10.782
0.199	-0.462436	358.986	-10.760
0.221	-0.356989	358.697	-10.620
0.242	0.180100	358.443	-10.421
0.266	0.513408	358.274	-10.286
0.288	0.153292	358.166	-10.301
0.308	-0.519792	358.063	-10.359
0.329	-0.700258	357.972	-10.346
0.350	-0.232610	357.920	-10.395
0.375	-0.228613	358.015	-10.626
0.395	-0.215819	358.177	-10.820
0.419	0.436215	358.350	-10.922
0.438	0.424178	358.597	-10.949
0.460	0.007967	358.758	-10.775
0.482	0.319907	358.761	-10.543
0.503	0.516512	358.709	-10.476
0.523	0.484868	358.710	-10.533
0.545	0.162695	358.742	-10.683
0.568	-0.126059	358.796	-10.843
0.591	-0.229101	358.847	-10.992
0.612	-0.114128	358.836	-11.157
0.633	-0.055125	358.823	-11.380
0.653	-0.101303	358.795	-11.560
0.674	-0.112118	358.734	-11.635
0.699	0.142980	358.670	-11.610
0.719	0.196713	358.614	-11.598
0.741	0.123910	358.578	-11.550
0.762	-0.007323	358.536	-11.417
0.783	-0.094875	358.501	-11.302
0.809	-0.203648	358.513	-11.322
0.828	-0.046613	358.564	-11.379
0.848	0.032688	358.624	-11.423
0.870	0.081977	358.654	-11.450
0.891	0.001604	358.666	-11.495
0.912	-0.084242	358.689	-11.554
0.936	-0.105751	358.721	-11.607
0.958	-0.009603	358.743	-11.615
0.978	0.087694	358.766	-11.609
0.999	0.031415	358.800	-11.611
1.020	0.084528	358.845	-11.644
1.044	0.046283	358.903	-11.734
1.065	0.081756	359.053	-11.946
1.086	-0.130188	359.053	-11.946
1.109	-0.130790	359.126	-11.981
1.131	-0.054624	359.172	-12.029
1.152	-0.035973	359.187	-12.137
1.173	0.048379	359.228	-12.304
1.194	0.115059	359.348	-12.444
1.216	0.022456	359.348	-12.444
1.239	-0.032809	359.391	-12.368
1.259	-0.171805	359.482	-12.402
1.281	-0.068315	359.600	-12.462
1.302	0.498610	359.710	-12.554
1.324	0.444845	359.934	-12.841
1.348	-0.277543	0.325	-13.175
1.368	-0.163287	0.682	-13.514
1.388	0.766879	0.712	-13.781
1.409	-0.086619	0.394	-13.595
1.431	-1.551799	0.394	-13.595
1.455	-1.750504	359.992	-13.365
1.476	-0.665411	359.594	-13.166
1.499	1.361025	359.278	-13.131
1.518	-0.821169	358.885	-13.274
1.541	-1.451011	358.225	-13.553
1.564	0.456436	357.620	-13.950
1.585	1.814526	357.826	-14.376
1.606	1.083896	358.655	-14.734
1.629	-0.196066	359.568	-14.873
1.649	-0.181391	359.866	-14.712
1.671	-0.137558	359.881	-14.162
1.693	0.453504	0.005	-13.729
1.713	0.583111	0.155	-14.195
1.735	0.434195	0.155	-14.195
1.756	0.464237	0.132	-14.787
1.779	0.211861	0.026	-15.425
1.800	-0.037972	359.710	-15.991
1.822	0.121771	359.317	-16.459
1.843	-0.078839	359.118	-17.176
1.865	-0.213884	359.118	-17.176
1.889	-0.358964	359.244	-17.359
1.907	-0.419503	359.464	-17.437
1.929	-0.320758	359.650	-17.395
1.950	-0.267922	359.777	-17.317
1.971	-0.101573	359.837	-17.262
1.996	-0.088206	359.877	-17.261
2.019	-0.148888	359.868	-17.314
2.038	-0.289287	359.808	-17.376
2.059	-0.348028	359.727	-17.422
2.081	-0.203835	359.678	-17.427
2.103	0.094424	359.695	-17.375
2.125	0.358739	359.762	-17.285
2.146	0.464525	359.811	-17.185
2.168	0.301089	359.831	-17.115
2.188	0.004846	359.819	-17.095
2.212	-0.240030	359.746	-17.136
2.232	-0.581674	359.606	-17.260
2.254	-0.614387	359.425	-17.401
