time(s)	globalZ	gyroAngle	pitch
0.021	1.528668	0.000	-19.873
0.034	0.356919	0.884	-20.120
0.055	-0.406574	1.706	-20.417
0.076	-0.472654	3.197	-20.268
0.097	-0.174283	3.197	-20.268
0.119	-0.063291	3.870	-19.957
0.140	-0.127905	4.606	-19.776
0.161	-0.045058	5.335	-19.620
0.182	0.178079	6.026	-19.468
0.204	0.260697	6.662	-19.253
0.226	0.316634	7.231	-19.015
0.245	0.419269	7.784	-18.853
0.267	0.350151	8.387	-18.735
0.288	0.257922	9.024	-18.614
0.309	0.170084	9.674	-18.522
0.331	0.043040	10.324	-18.508
0.352	-0.013044	11.008	-18.601
0.373	-0.183405	11.770	-18.790
0.396	-0.170077	12.613	-18.997
0.415	0.213194	13.536	-19.115
0.437	0.448567	14.523	-19.108
0.458	0.571023	15.557	-19.053
0.479	0.505910	16.608	-19.075
0.500	0.407601	17.662	-19.256
0.522	0.084794	18.702	-19.639
0.542	-0.190952	19.714	-20.158
0.565	-0.278538	20.800	-20.557
0.585	-0.090387	21.896	-20.754
0.607	0.182921	24.010	-20.747
0.628	0.340864	24.010	-20.747
0.649	0.500203	25.085	-20.744
0.670	0.466120	26.171	-20.781
0.691	0.249623	27.240	-20.810
0.712	0.098938	28.276	-20.776
0.734	0.003692	29.278	-20.676
0.755	0.123577	30.236	-20.522
0.776	0.071476	31.096	-20.389
0.798	-0.528263	31.823	-20.359
0.818	-1.240053	32.447	-20.462
0.839	-1.573452	33.040	-20.613
0.861	-1.455513	33.612	-20.549
0.882	-1.001064	34.175	-20.267
0.903	-0.566966	34.687	-19.825
0.926	-0.271472	35.178	-19.316
0.945	-0.165521	35.655	-18.828
0.967	-0.531233	36.097	-18.405
0.988	-0.920621	36.486	-18.017
1.009	-0.955419	36.873	-17.581
1.030	-0.771829	37.284	-17.040
1.052	-0.578842	37.730	-16.399
1.073	-0.008126	38.261	-15.695
1.095	0.802872	38.882	-15.028
1.116	1.025211	39.570	-14.489
1.137	0.696856	40.316	-14.055
1.157	0.516336	41.074	-13.686
1.179	0.680386	41.885	-13.352
1.200	1.061466	42.793	-13.023
1.221	1.216840	43.751	-12.709
1.242	1.311940	44.733	-12.426
1.264	1.563016	45.754	-12.203
1.286	1.738879	46.787	-12.102
1.306	1.566920	47.791	-12.158
1.327	0.920857	48.767	-12.395
1.349	0.155981	49.795	-12.787
1.369	-0.106243	50.926	-13.217
1.390	0.032917	52.111	-13.640
1.412	0.152522	53.332	-14.054
1.433	0.161392	54.615	-14.449
1.456	0.084955	55.982	-14.821
1.476	0.058777	57.453	-15.207
1.497	0.122613	59.011	-15.642
1.518	0.152939	60.643	-16.140
1.539	0.008396	62.361	-16.639
1.560	-0.304658	64.142	-17.079
1.582	-0.322631	65.983	-17.440
1.602	-0.027577	67.894	-17.709
1.625	0.277856	69.854	-17.965
1.644	0.251590	71.854	-18.252
1.666	-0.130933	73.847	-18.563
1.687	-0.603037	75.832	-18.937
1.709	-0.977053	77.862	-19.395
1.730	-1.131041	79.981	-19.869
1.751	-0.919821	82.221	-20.243
1.773	-0.520259	84.546	-20.433
1.794	-0.046046	86.932	-20.452
1.815	0.531420	89.359	-20.445
1.836	0.831799	91.749	-20.591
1.860	0.674424	94.053	-20.895
1.878	0.078707	96.255	-21.274
1.899	-0.455206	98.383	-21.656
1.920	-0.644044	100.457	-22.007
1.941	-0.673230	102.497	-22.290
1.964	-0.644010	104.517	-22.471
1.986	-0.634096	106.572	-22.495
2.005	-0.479081	108.641	-22.281
2.027	-0.008762	110.686	-21.868
2.049	0.514643	112.654	-21.409
2.069	0.970123	114.419	-21.084
2.090	0.895677	115.927	-21.066
2.112	0.059833	117.214	-21.296
2.132	-0.627023	118.437	-21.532
2.155	-0.860249	119.701	-21.618
2.175	-0.642002	121.112	-21.501
