time(s)	globalZ	gyroAngle	pitch
0.012	0.136458	0.000	-14.596
0.027	0.482491	0.031	-14.588
0.049	-0.082294	0.036	-14.661
0.069	-0.263269	0.051	-14.672
0.091	0.007091	0.081	-14.653
0.111	0.146779	0.086	-14.673
0.132	-0.012504	0.077	-14.705
0.153	-0.051148	0.072	-14.722
0.174	0.051463	0.089	-14.739
0.195	0.057122	0.120	-14.756
0.215	-0.113428	0.151	-14.781
0.237	-0.221049	0.151	-14.794
0.258	-0.210362	0.131	-14.783
0.277	-0.066780	0.112	-14.758
0.299	0.085924	0.109	-14.741
0.319	0.108885	0.117	-14.749
0.340	0.004929	0.124	-14.764
0.361	-0.005692	0.120	-14.745
0.381	0.130049	0.125	-14.695
0.402	0.114449	0.147	-14.661
0.424	-0.081509	0.207	-14.669
0.444	-0.136141	0.279	-14.665
0.465	0.012708	0.356	-14.684
0.485	0.049406	0.433	-14.717
0.507	0.511657	0.546	-14.699
0.528	0.363421	0.576	-14.733
0.548	-0.031094	0.596	-14.843
0.568	-0.364459	0.603	-14.972
0.589	-0.406187	0.608	-15.070
0.610	-0.347246	0.585	-15.148
0.631	-0.415873	0.532	-15.220
0.652	-0.509384	0.476	-15.240
0.672	-0.335804	0.449	-15.209
0.693	-0.162120	0.437	-15.176
0.714	-0.083057	0.431	-15.152
0.735	-0.017682	0.415	-15.129
0.758	0.048855	0.357	-15.098
0.778	0.141876	0.235	-15.057
0.798	0.274135	0.120	-15.005
0.819	0.329332	0.062	-14.982
0.839	0.184744	0.030	-14.981
0.861	0.205612	359.962	-14.984
0.881	0.060581	359.899	-15.022
0.901	-0.018860	359.893	-15.072
0.923	-0.171186	359.956	-15.112
0.943	-0.078491	0.053	-15.103
0.964	0.034834	0.130	-15.091
0.985	0.025285	0.138	-15.105
1.006	0.016194	0.108	-15.121
1.026	0.042522	0.078	-15.145
1.049	-0.039148	0.049	-15.198
1.069	-0.174472	359.995	-15.181
1.089	-0.094601	359.995	-15.181
1.110	0.215267	0.048	-15.122
1.130	0.148629	0.048	-15.122
1.151	-0.134740	0.098	-15.195
1.172	-0.244581	0.099	-15.205
1.193	0.085826	0.074	-15.132
1.213	0.167094	0.064	-15.105
1.235	-0.207592	0.081	-15.203
1.256	-0.582239	0.087	-15.376
1.276	-0.560441	0.033	-15.540
1.298	-0.520590	359.894	-15.669
1.319	-0.530222	359.678	-15.665
1.339	-0.318513	359.420	-15.474
1.359	0.004903	359.213	-15.118
1.380	0.527042	359.151	-14.693
1.401	0.857444	359.256	-14.335
1.422	1.034195	359.256	-14.335
1.443	0.810848	359.868	-13.949
1.463	0.351509	0.196	-13.956
1.483	-0.036707	0.417	-13.989
1.505	-0.212221	0.474	-13.985
1.526	-0.180127	0.403	-13.962
1.546	-0.174218	0.305	-13.962
1.568	-0.396619	0.231	-13.965
1.588	-0.499678	0.157	-13.903
1.609	-0.379128	0.070	-13.813
1.630	-0.346501	0.002	-13.744
1.650	-0.396388	359.996	-13.684
1.671	-0.431212	0.041	-13.618
1.692	-0.416222	0.079	-13.538
1.713	-0.479861	0.058	-13.450
1.734	-0.399212	359.952	-13.309
1.754	-0.111128	359.824	-13.150
1.775	0.047467	359.717	-13.010
1.796	0.184040	359.656	-12.883
1.817	0.636478	359.650	-12.774
1.838	1.164033	359.653	-12.717
1.859	1.720944	359.659	-12.709
1.879	2.336162	359.694	-12.719
1.899	3.076225	359.787	-12.749
1.920	3.913859	359.922	-12.945
1.942	3.554068	359.952	-13.341
1.963	2.748314	359.799	-13.565
1.983	3.324179	359.664	-13.524
2.004	3.559374	359.543	-13.690
2.025	2.093704	359.524	-14.423
2.046	-0.195387	359.531	-15.499
2.067	-1.974221	359.447	-16.479
2.088	-2.752305	359.305	-17.101
2.108	-2.506310	359.193	-17.354
2.128	-1.904599	359.218	-17.398
2.150	-1.491002	359.339	-17.360
2.171	-1.383309	359.398	-17.254
2.191	-1.235975	359.278	-17.122
2.212	-1.314035	358.965	-17.065
2.233	-1.605417	358.575	-17.090
2.253	-1.753389	358.176	-17.175
2.274	-2.034976	357.744	-17.298
2.295	-2.038856	357.295	-17.364
2.316	-1.648206	356.887	-17.414
2.337	-1.344848	356.571	-17.525
2.359	-1.142742	356.327	-17.698
2.379	-1.090509	356.081	-17.864
2.399	-0.700022	355.848	-17.863
2.420	0.216645	355.701	-17.691
2.441	1.188635	355.664	-17.535
2.474	1.891193	355.810	-17.638
2.482	2.002925	356.447	-18.164
2.503	2.228907	356.447	-18.164
2.523	2.866132	356.833	-18.300
2.544	3.526935	357.376	-18.646
2.565	3.932153	358.272	-19.390
2.586	3.161691	359.378	-20.177
2.608	2.088605	0.324	-20.359
2.628	1.787083	0.754	-20.009
2.648	2.371485	0.678	-20.006
2.670	0.932810	0.358	-20.816
2.690	-1.709725	0.074	-21.689
2.711	-3.401229	359.919	-21.944
2.731	-3.616295	359.886	-21.414
2.753	-2.613872	359.995	-20.451
2.774	-1.726446	0.238	-19.446
2.794	-1.324817	0.586	-18.680
2.815	-1.325202	0.939	-18.337
2.836	-1.840851	1.307	-18.294
2.857	-2.363883	1.702	-18.384
2.879	-2.681057	2.362	-18.604
2.899	-2.928048	2.362	-18.604
2.919	-2.707483	2.229	-18.041
2.940	-1.730672	2.229	-18.041
2.961	-0.599010	2.001	-17.798
2.982	-0.047181	1.852	-17.633
3.003	0.363119	1.703	-17.067
3.023	1.216756	1.703	-17.067
3.055	2.080419	1.645	-16.921
3.065	2.216511	1.692	-16.916
3.085	2.282487	1.919	-16.890
3.105	3.164616	2.277	-16.849
3.128	4.130987	2.618	-16.955
3.148	4.033846	2.746	-17.095
3.168	3.633160	2.646	-16.909
3.189	3.858698	2.517	-16.620
3.210	3.728483	2.542	-16.707
3.231	2.543660	2.672	-17.392
3.252	0.358087	2.630	-18.435
3.272	-1.863163	2.318	-19.342
3.293	-3.100057	1.849	-19.788
3.314	-3.377264	1.379	-19.748
3.335	-2.973167	0.935	-19.381
3.356	-2.357654	0.453	-18.984
3.377	-1.823420	359.915	-18.748
3.399	-1.702062	359.347	-18.773
3.417	-2.208608	358.770	-18.888
3.438	-2.555019	358.265	-18.889
3.459	-2.183189	357.900	-18.780
3.481	-1.386383	357.608	-18.737
3.501	-0.755596	357.327	-18.885
3.522	-0.690365	357.086	-19.143
3.543	-0.725965	356.985	-19.347
3.564	-0.316070	357.043	-19.457
3.585	0.382649	357.231	-19.508
3.605	1.180519	357.605	-19.542
3.637	2.004826	358.982	-19.533
3.647	2.786621	358.982	-19.533
3.668	3.203785	359.750	-19.743
3.688	3.115306	0.520	-20.147
3.709	2.198435	1.150	-20.359
3.730	1.438633	1.442	-19.856
