time(s)	globalZ	gyroAngle	pitch
0.012	-0.394226	0.000	-16.706
0.033	0.810537	0.024	-16.508
0.054	0.575037	359.937	-16.583
0.075	-0.051528	359.937	-16.583
0.095	-0.062820	359.908	-16.550
0.117	0.224777	359.852	-16.508
0.137	0.130132	359.852	-16.508
0.158	0.049689	359.787	-16.505
0.178	0.237105	359.730	-16.501
0.199	0.154393	359.704	-16.555
0.220	-0.129433	359.677	-16.628
0.241	-0.231248	359.630	-16.664
0.262	-0.094614	359.574	-16.653
0.283	0.027509	359.534	-16.640
0.303	-0.099532	359.518	-16.663
0.325	-0.204915	359.508	-16.661
0.345	0.076792	359.488	-16.621
0.366	0.303249	359.476	-16.610
0.387	0.104868	359.484	-16.668
0.408	-0.198083	359.480	-16.736
0.428	-0.161517	359.452	-16.750
0.449	0.045940	359.424	-16.752
0.470	-0.027362	359.380	-16.806
0.491	-0.276742	359.342	-16.873
0.512	-0.344933	359.343	-16.882
0.531	-0.187206	359.379	-16.805
0.552	0.191479	359.401	-16.684
0.574	0.262169	359.373	-16.625
0.595	0.142011	359.335	-16.619
0.615	0.051855	359.362	-16.644
0.636	-0.043614	359.468	-16.671
0.656	-0.029835	359.578	-16.678
0.678	0.201080	359.634	-16.664
0.699	0.348007	359.705	-16.662
0.719	0.303217	359.840	-16.661
0.740	0.258926	359.981	-16.634
0.760	0.278902	0.066	-16.609
0.782	0.200057	0.077	-16.643
0.803	-0.285869	0.048	-16.770
0.823	-0.926593	359.876	-17.006
0.845	-1.197537	359.876	-17.006
0.865	-1.255891	359.712	-17.048
0.886	-1.010798	359.556	-16.853
0.906	-0.403140	359.505	-16.562
0.927	0.063929	359.516	-16.265
0.948	0.182303	359.495	-16.022
0.968	0.173557	359.406	-15.796
0.990	0.279316	359.319	-15.572
1.010	0.300400	359.254	-15.380
1.031	0.195375	359.216	-15.195
1.051	0.366612	359.171	-14.959
1.072	0.773499	359.114	-14.607
1.095	1.015389	359.114	-14.607
1.115	0.744238	359.141	-14.633
1.135	0.187105	359.161	-14.715
1.156	-0.236688	359.121	-14.785
1.177	-0.421574	359.009	-14.788
1.198	-0.239244	358.860	-14.709
1.219	-0.009178	358.730	-14.620
1.239	-0.005469	358.633	-14.554
1.260	-0.020314	358.567	-14.482
1.281	0.148355	358.532	-14.380
1.301	0.382448	358.510	-14.281
1.322	0.432524	358.493	-14.246
1.343	0.273172	358.480	-14.282
1.365	0.019023	358.467	-14.344
1.385	-0.157166	358.455	-14.380
1.406	-0.226362	358.452	-14.382
1.427	-0.132482	358.452	-14.357
1.447	0.103001	358.485	-14.282
1.468	0.358373	358.559	-14.202
1.489	0.304281	358.673	-14.169
1.509	0.042243	358.788	-14.179
1.530	-0.017737	358.886	-14.186
1.552	0.118827	358.988	-14.201
1.572	0.168114	359.116	-14.255
1.593	-0.056754	359.221	-14.334
1.615	-0.208491	359.339	-14.426
1.635	-0.104349	359.339	-14.426
1.655	0.053638	359.415	-14.429
1.675	0.126325	359.506	-14.423
1.696	0.192281	359.597	-14.426
1.717	0.177596	359.684	-14.488
1.738	-0.195375	359.757	-14.592
1.759	-0.369834	359.816	-14.644
1.780	-0.136819	359.868	-14.637
1.801	0.058580	359.914	-14.617
1.821	0.085317	359.956	-14.600
1.842	0.051263	359.993	-14.612
1.863	-0.131739	0.040	-14.662
1.885	-0.298987	0.102	-14.692
1.904	-0.149254	0.154	-14.659
1.925	0.214421	0.198	-14.617
1.946	0.311032	0.260	-14.644
1.967	0.099565	0.356	-14.713
1.988	-0.045805	0.466	-14.754
2.009	0.050829	0.544	-14.767
2.030	0.123593	0.570	-14.811
2.050	-0.079064	0.591	-14.890
2.072	-0.340083	0.643	-14.946
2.092	-0.381200	0.700	-14.932
2.112	-0.191406	0.719	-14.859
2.133	0.004265	0.719	-14.789
2.155	0.014528	0.735	-14.740
2.175	-0.002258	0.776	-14.684
2.195	0.013477	0.830	-14.629
2.216	-0.075842	0.880	-14.604
2.237	-0.146396	0.900	-14.579
2.258	0.026092	0.884	-14.517
2.279	0.168007	0.866	-14.449
2.300	0.002335	0.848	-14.385
2.320	-0.047897	0.817	-14.295
2.342	0.074803	0.784	-14.237
2.362	-0.037678	0.768	-14.270
2.383	-0.357159	0.765	-14.358
2.405	-0.540785	0.752	-14.440
2.425	-0.465315	0.718	-14.477
2.445	-0.298412	0.635	-14.469
2.466	-0.123259	0.487	-14.400
2.487	0.124781	0.284	-14.280
2.507	0.220517	0.060	-14.136
2.528	0.328536	359.862	-14.003
2.549	0.304970	359.714	-13.911
2.570	0.234300	359.630	-13.874
2.591	0.130448	359.605	-13.870
2.611	0.132790	359.642	-13.861
2.632	0.327460	359.746	-13.832
2.653	0.432364	359.905	-13.838
2.675	0.234368	0.106	-13.925
2.695	-0.109247	0.379	-14.221
2.715	-0.288189	0.379	-14.221
2.736	-0.256522	0.440	-14.432
2.757	-0.506000	0.541	-14.650
2.777	-0.643002	0.704	-14.753
2.798	-0.384270	0.926	-14.722
2.819	-0.130449	1.138	-14.661
2.840	-0.094303	1.319	-14.662
2.861	-0.280556	1.457	-14.717
2.882	-0.312219	1.573	-14.747
2.903	-0.079043	1.683	-14.738
2.925	0.154530	1.796	-14.720
2.945	0.338096	1.917	-14.723
2.965	0.531627	2.030	-14.759
2.986	0.637645	2.120	-14.880
3.006	0.588998	2.172	-15.088
3.027	0.781347	2.169	-15.327
3.048	1.155513	2.159	-15.403
3.069	1.381280	2.222	-15.579
3.090	1.587699	2.337	-15.825
3.110	2.047768	2.423	-16.123
3.131	2.457420	2.464	-16.556
3.152	2.384544	2.483	-17.206
3.173	1.691574	2.419	-17.946
3.195	1.161613	2.233	-18.409
3.214	1.616628	2.041	-18.413
3.235	2.178071	1.928	-18.257
3.256	1.979607	1.835	-18.239
3.277	0.878580	1.651	-18.604
3.298	-0.922212	1.273	-19.328
3.319	-2.415460	0.736	-20.114
3.339	-3.151097	0.135	-20.692
3.360	-3.193124	359.648	-20.909
3.381	-2.599205	359.317	-20.816
3.402	-2.001730	359.030	-20.577
3.422	-1.639049	358.695	-20.302
3.444	-1.312453	358.298	-20.043
3.465	-1.268116	357.908	-19.854
3.485	-1.379062	357.565	-19.690
3.506	-1.402720	357.215	-19.459
3.527	-1.120791	356.788	-19.067
3.547	-0.495047	356.255	-18.547
3.568	0.003772	355.730	-18.085
3.589	-0.031563	355.353	-17.801
3.610	-0.289645	355.153	-17.643
3.631	-0.478039	355.018	-17.497
3.651	-0.292850	354.873	-17.331
3.672	0.102095	354.777	-17.257
3.693	0.321699	354.802	-17.376
3.727	0.401988	354.891	-17.609
3.734	0.677940	354.954	-17.809
3.755	1.360187	354.985	-17.898
3.776	2.206537	355.050	-17.979
3.797	2.537498	355.215	-18.204
3.817	2.523595	355.435	-18.566
3.838	2.402192	355.697	-19.051
3.859	2.168433	356.074	-19.677
3.880	1.409689	356.509	-20.145
3.900	1.042235	357.049	-20.201
3.922	1.216474	357.464	-20.029
3.942	1.317736	357.778	-19.859
3.964	1.118989	358.168	-20.030
3.984	-0.034340	358.584	-20.651
4.005	-1.717960	358.928	-21.256
4.026	-2.757938	359.111	-21.359
4.046	-2.684613	359.183	-20.963
4.067	-2.099035	359.331	-20.384
4.087	-1.684439	359.702	-19.809
4.108	-1.382020	0.337	-19.369
4.129	-1.335716	1.024	-19.062
4.150	-1.513131	1.575	-18.733
4.170	-1.392718	2.022	-18.329
4.191	-0.985381	2.475	-18.013
4.212	-0.867222	2.977	-17.821
4.235	-1.001731	3.508	-17.620
4.255	-0.927973	4.038	-17.378
4.275	-0.655864	4.547	-17.184
4.296	-0.410188	5.048	-17.097
4.317	-0.393855	5.517	-17.098
4.338	-0.527369	5.924	-17.141
4.358	-0.530314	6.251	-17.166
4.379	0.082202	6.460	-17.169
4.400	0.799011	6.502	-17.198
4.431	1.260740	6.442	-17.194
4.442	1.799663	6.377	-17.125
4.462	2.618992	6.407	-17.088
4.483	3.439954	6.527	-17.316
4.505	3.385497	6.573	-17.879
4.525	2.182044	6.404	-18.488
4.545	0.995019	6.237	-18.619
4.566	1.128551	6.324	-18.244
4.587	1.836342	6.513	-17.861
4.608	1.677298	6.454	-17.693
4.629	0.799156	5.921	-17.805
4.650	-0.388522	5.030	-18.201
4.670	-1.809846	4.054	-18.660
4.690	-2.823257	3.163	-18.744
4.712	-2.723084	2.327	-18.299
4.732	-1.663268	1.461	-17.613
4.755	-0.649303	0.595	-17.048
4.775	-0.331464	359.793	-16.786
4.795	-0.694026	359.172	-16.719
4.815	-1.233257	358.747	-16.696
4.837	-1.578801	358.346	-16.670
4.858	-1.741871	357.869	-16.624
4.879	-1.598077	357.325	-16.488
4.899	-1.074559	356.788	-16.317
4.920	-0.569694	356.314	-16.281
4.941	-0.561286	355.908	-16.401
4.961	-0.732220	355.559	-16.521
4.983	-0.507103	355.272	-16.594
5.003	0.006420	355.047	-16.697
5.025	0.488674	355.002	-16.904
5.044	0.605525	355.114	-17.026
5.076	1.145292	355.239	-16.919
5.086	2.195031	355.329	-16.767
5.107	3.163901	355.521	-16.870
5.128	3.419209	356.011	-17.554
5.149	2.256889	356.649	-18.376
5.169	1.079611	357.190	-18.533
5.189	1.255209	357.464	-18.031
5.211	1.843534	357.607	-17.619
5.232	1.201821	357.935	-17.779
5.253	-0.463372	358.390	-18.213
5.275	-1.868821	358.722	-17.795
5.294	-2.005776	358.722	-17.795
5.315	-0.994042	358.529	-16.949
5.336	0.162934	358.388	-16.217
5.357	0.490470	358.483	-15.942
5.378	-0.295386	358.846	-16.064
5.398	-1.497368	359.281	-16.258
5.419	-2.203138	359.639	-16.351
5.439	-2.309351	359.891	-16.375
5.461	-2.219976	0.120	-16.448
5.481	-2.256511	0.692	-16.479
5.502	-2.243390	0.692	-16.479
5.523	-1.774857	0.911	-16.183
5.545	-0.916577	1.091	-15.785
5.565	-0.099258	1.288	-15.597
5.586	0.185517	1.478	-15.677
5.606	0.229404	1.643	-15.812
5.627	0.565424	1.783	-15.916
5.651	1.078696	1.893	-16.062
5.668	1.435378	2.030	-16.309
5.689	1.660602	2.173	-16.587
5.709	1.872381	2.234	-16.753
5.732	2.377977	2.260	-16.827
5.751	3.153406	2.370	-17.097
5.773	3.130543	2.566	-17.723
5.793	2.205723	2.695	-18.342
5.815	1.369503	2.796	-18.551
5.835	1.155543	2.920	-18.340
5.855	1.333496	3.041	-18.145
5.877	0.605602	2.835	-18.986
5.897	-1.075111	2.835	-18.986
5.918	-2.803463	2.264	-19.512
5.939	-3.626793	1.461	-19.574
5.960	-3.289958	0.821	-19.085
5.980	-2.024639	0.504	-18.276
6.001	-0.583851	0.348	-17.550
6.022	0.042516	0.117	-17.113
6.043	-0.219598	359.770	-16.810
6.065	-0.451892	359.375	-16.280
6.085	-0.302010	359.375	-16.280
6.105	-0.328360	359.423	-16.288
6.126	-0.685461	359.436	-16.419
6.147	-1.126162	359.311	-16.494
6.167	-1.187420	359.133	-16.447
6.188	-0.865833	359.013	-16.380
6.209	-0.539020	358.932	-16.418
6.230	-0.549866	358.831	-16.561
6.251	-0.729660	358.753	-16.739
6.271	-0.697890	358.744	-16.873
6.293	-0.351894	358.816	-16.910
6.313	0.185489	358.931	-16.810
6.335	1.065858	358.938	-16.588
6.367	2.069344	358.838	-16.408
6.375	2.841325	358.869	-16.357
6.396	3.424925	359.176	-16.528
6.417	3.611294	359.748	-17.152
6.438	2.760728	0.341	-18.001
6.459	1.592337	0.581	-18.496
6.479	1.366130	0.344	-18.278
6.500	2.100334	359.888	-17.866
6.521	2.097627	359.616	-18.029
6.542	0.218601	359.670	-18.742
6.563	-1.957590	359.790	-19.388
6.584	-2.970726	359.790	-19.622
6.605	-2.925548	359.647	-19.428
6.625	-2.221158	359.498	-18.982
6.646	-1.355131	359.404	-18.512
6.666	-0.831787	359.328	-18.215
6.687	-0.829639	359.351	-18.107
6.708	-1.346460	359.496	-18.023
6.728	-1.616498	359.613	-17.806
6.750	-1.520347	359.641	-17.556
6.771	-1.490136	359.603	-17.371
6.792	-1.392228	359.579	-17.231
6.813	-1.170989	359.658	-17.123
6.833	-0.930090	359.825	-17.044
6.855	-0.912816	359.974	-16.963
6.875	-1.013957	0.041	-16.784
6.895	-0.669672	0.086	-16.542
6.916	-0.038880	0.210	-16.362
6.936	0.568786	0.411	-16.329
6.957	0.931382	0.590	-16.424
6.989	1.301434	0.656	-16.562
6.999	1.801904	0.674	-16.697
7.020	2.301187	0.819	-16.852
7.040	2.807214	1.045	-17.115
7.061	2.985384	1.226	-17.633
7.082	2.354034	1.260	-18.334
7.105	1.349552	1.378	-18.743
7.125	0.857396	1.378	-18.743
7.144	1.458872	1.491	-18.277
7.166	2.134158	1.478	-18.555
7.186	1.420836	1.478	-18.555
7.207	-0.888390	1.115	-19.446
7.228	-3.206104	0.621	-19.968
7.249	-3.834455	0.037	-19.582
