time(s)	globalZ	gyroAngle	pitch
0.017	-0.305987	0.000	-25.988
0.038	-0.172267	358.787	-25.823
0.060	0.092079	358.787	-25.823
0.082	-0.038121	358.227	-25.710
0.106	-0.045601	357.771	-25.635
0.126	-0.098434	357.426	-25.620
0.147	0.029743	357.180	-25.704
0.168	0.108656	356.983	-25.842
0.190	0.244685	356.849	-25.910
0.213	0.370647	356.783	-25.913
0.236	0.293088	356.754	-25.958
0.255	0.227127	356.740	-26.116
0.276	0.055622	356.743	-26.363
0.297	-0.127501	356.778	-26.567
0.322	-0.217609	356.809	-26.642
0.342	-0.299443	356.830	-26.647
0.364	-0.320915	356.860	-26.690
0.388	-0.221623	356.889	-26.679
0.408	-0.157585	356.933	-26.490
0.429	-0.065566	356.933	-26.490
0.450	0.253455	357.003	-26.418
0.472	0.349026	357.092	-26.341
0.492	0.293249	357.172	-26.278
0.515	0.257022	357.242	-26.271
0.536	0.183682	357.305	-26.323
0.558	0.008440	357.352	-26.443
0.579	-0.054529	357.393	-26.626
0.601	-0.221840	357.440	-26.865
0.623	-0.124686	357.502	-27.135
0.645	0.099180	357.586	-27.429
0.666	-0.061090	357.687	-27.741
0.688	-0.076471	357.775	-28.063
0.709	-0.104547	357.862	-28.353
0.730	-0.088127	357.862	-28.765
0.752	-0.211581	357.862	-28.765
0.775	-0.149536	357.784	-28.970
0.796	-0.088091	357.685	-29.174
0.817	-0.057384	357.585	-29.366
0.839	-0.034918	357.494	-29.504
0.862	0.101898	357.403	-29.563
0.882	0.028746	357.316	-29.601
0.906	0.004242	357.199	-29.674
0.926	-0.014100	357.064	-29.789
0.946	-0.051931	356.929	-29.920
0.968	0.027172	356.791	-30.039
0.991	0.037118	356.689	-30.150
1.012	0.007049	356.652	-30.266
1.033	-0.087330	356.669	-30.350
1.055	-0.173419	356.723	-30.400
1.076	-0.147060	356.748	-30.422
1.099	-0.092102	356.735	-30.443
1.120	-0.158554	356.697	-30.461
1.142	-0.207677	356.697	-30.461
1.162	-0.120487	356.681	-30.437
1.185	-0.003675	356.621	-30.425
1.207	0.214003	356.546	-30.450
1.227	0.256330	356.503	-30.508
1.249	0.158242	356.483	-30.547
1.271	0.128538	356.474	-30.514
1.292	0.021359	356.471	-30.450
1.316	-0.086266	356.495	-30.429
1.337	-0.099477	356.595	-30.477
1.357	-0.227383	356.767	-30.555
1.378	-0.401682	356.959	-30.639
1.400	-0.509227	357.129	-30.710
1.423	-0.488712	357.264	-30.742
1.447	-0.528990	357.368	-30.749
1.466	-0.649030	357.466	-30.739
1.487	-0.662413	357.584	-30.722
1.510	-0.258955	357.729	-30.703
1.531	0.076079	357.951	-30.706
1.552	0.197681	358.361	-30.732
1.575	0.101017	358.915	-30.812
1.595	-0.201953	359.450	-30.940
1.618	-0.263428	359.801	-30.944
1.639	0.188058	359.933	-30.722
1.661	0.963353	359.958	-30.407
1.681	1.576872	359.936	-29.918
1.703	1.432925	0.050	-29.682
1.727	0.891837	0.227	-29.763
1.747	0.178800	0.454	-30.054
1.769	-0.558032	0.706	-30.384
1.789	-0.966129	0.834	-30.688
1.810	-0.975540	0.789	-30.942
1.836	-0.698723	0.653	-31.148
1.856	-0.095704	0.467	-31.327
1.876	0.227630	0.276	-31.488
1.897	0.347412	0.081	-31.683
1.919	0.613843	359.888	-31.897
1.956	1.125007	359.734	-32.060
1.965	1.490891	359.616	-32.196
1.986	1.949791	359.547	-32.346
2.006	2.295020	359.478	-32.536
2.027	2.457284	359.364	-32.767
2.048	2.519848	359.213	-33.309
2.071	2.001540	359.213	-33.309
2.093	1.783407	359.276	-33.271
2.116	1.712331	359.376	-33.002
2.136	1.388020	359.378	-32.829
2.159	0.593601	359.171	-33.033
2.181	-0.482151	358.779	-33.634
2.202	-1.236468	358.416	-34.360
2.223	-1.594512	358.221	-35.002
2.244	-1.680010	358.171	-35.447
2.267	-1.585385	358.240	-35.622
2.288	-1.425094	358.405	-35.541
2.309	-1.421256	358.501	-35.344
2.330	-1.691382	358.381	-35.212
2.351	-1.965338	357.993	-35.175
2.375	-1.746562	357.411	-35.144
2.397	-1.392944	356.794	-35.006
2.417	-1.167511	356.278	-34.789
2.439	-1.008896	355.912	-34.594
2.460	-0.820451	355.659	-34.495
2.483	-0.441269	355.420	-34.597
2.506	-0.288448	355.186	-34.927
2.525	-0.355355	355.039	-35.267
2.547	0.087187	354.962	-35.387
2.568	0.978384	354.896	-35.241
2.600	1.958886	354.870	-34.836
2.611	3.301007	354.969	-34.350
2.633	4.089216	355.181	-34.112
2.655	3.678653	355.414	-34.057
2.674	3.057560	355.829	-33.875
2.699	2.370174	356.493	-33.560
2.720	1.721067	357.298	-33.379
2.741	0.565815	358.069	-33.599
2.763	-0.825402	358.702	-34.113
2.786	-2.036821	359.011	-34.687
2.807	-2.710320	359.055	-35.147
2.828	-3.049612	358.945	-35.440
2.850	-3.068631	358.851	-35.318
2.872	-2.440953	358.783	-34.790
2.892	-1.995549	358.649	-34.199
2.913	-1.855060	358.459	-33.835
2.936	-1.743182	358.329	-33.479
2.958	-1.386026	358.329	-33.479
2.979	-0.747723	358.604	-33.069
3.000	-0.244667	359.136	-32.613
3.022	0.130423	359.884	-32.220
3.047	0.483920	0.643	-32.025
3.065	0.707655	1.193	-32.152
3.096	0.613698	1.445	-32.552
3.108	0.829727	1.489	-32.917
3.129	1.412171	1.424	-33.127
3.153	2.007994	1.308	-33.206
3.176	2.517402	0.867	-33.303
3.196	3.295375	0.867	-33.303
3.216	3.564777	0.354	-34.160
3.237	2.409590	0.354	-34.160
3.261	1.647519	0.156	-34.310
3.282	1.506720	0.027	-34.185
3.303	0.694247	359.822	-34.402
3.327	-0.965722	359.621	-35.127
3.346	-2.131249	359.649	-35.935
3.369	-2.219527	359.935	-36.435
3.390	-1.954497	0.288	-36.511
3.411	-1.861381	0.598	-36.164
3.432	-1.599617	0.958	-35.417
3.455	-1.030424	1.284	-33.544
3.477	-0.571931	1.284	-33.544
3.498	-0.642061	0.831	-33.059
3.520	-1.050022	0.090	-33.017
3.541	-1.263060	359.310	-33.172
3.562	-1.299270	358.652	-33.258
3.586	-1.167871	358.114	-33.260
3.606	-0.885571	357.616	-33.302
3.627	-0.424437	357.153	-33.474
3.649	0.009818	356.780	-33.774
3.672	0.287345	356.615	-34.070
3.694	0.642871	356.661	-34.256
3.724	1.161350	356.735	-34.291
3.735	1.845598	356.798	-34.155
3.757	2.721397	356.928	-33.833
3.780	3.723712	357.093	-33.514
3.800	4.069658	357.259	-33.407
3.822	3.193485	357.625	-33.314
3.846	2.061098	358.256	-33.032
3.865	1.264795	359.123	-32.745
3.889	-0.041564	0.482	-33.161
3.909	-1.434239	0.482	-33.161
3.931	-2.043236	0.428	-33.421
3.952	-2.229492	0.036	-33.509
3.973	-2.694575	359.665	-33.403
3.997	-2.692505	359.542	-33.017
4.017	-2.324689	359.658	-32.433
4.038	-2.037570	359.996	-31.854
4.060	-2.013682	0.512	-31.413
4.081	-2.017991	1.102	-31.107
4.106	-1.957368	1.718	-30.834
4.126	-1.638814	2.360	-30.521
4.146	-0.947553	3.015	-30.247
4.167	-0.204838	3.630	-30.167
4.189	0.134157	4.116	-30.341
4.213	0.283275	4.430	-30.587
4.235	1.109152	4.596	-30.684
4.262	2.191158	4.442	-30.706
4.275	2.742686	4.024	-30.838
4.297	3.211424	3.653	-31.077
4.321	3.707050	3.527	-31.376
4.341	3.687197	3.555	-31.736
4.363	2.881387	3.660	-32.023
4.386	2.190977	3.990	-31.928
4.406	1.824034	4.561	-31.536
4.429	1.092822	4.982	-31.452
4.450	-0.495501	5.050	-31.995
4.471	-1.765990	5.065	-32.719
4.492	-1.747290	5.214	-33.154
4.515	-1.550454	5.386	-33.156
4.536	-1.797191	5.530	-32.660
4.558	-1.553889	5.622	-31.770
4.579	-1.141002	5.413	-30.919
4.600	-1.237591	4.755	-30.462
4.622	-1.618038	3.753	-30.425
4.647	-1.815731	1.639	-30.842
4.666	-1.918743	1.639	-30.842
4.688	-1.870303	0.769	-30.989
4.709	-1.682436	359.961	-31.087
4.729	-1.398965	359.181	-31.197
4.754	-1.056204	358.551	-31.349
4.776	-0.572826	358.077	-31.519
4.797	0.067559	357.684	-31.557
4.817	0.840027	357.280	-31.379
4.838	1.770645	356.803	-30.991
4.868	2.866357	356.425	-30.439
4.881	3.912277	356.316	-29.852
4.906	4.034164	356.566	-29.302
4.927	3.661530	357.067	-28.680
4.945	3.574605	357.444	-28.242
4.967	3.037663	357.707	-28.375
4.990	1.161675	357.989	-29.128
5.011	-0.731311	358.327	-29.896
