time(s)	globalZ	gyroAngle	pitch
0.015	0.077695	0.000	-32.849
0.036	0.164123	0.063	-32.925
0.060	0.073641	0.309	-33.252
0.081	-0.099605	0.366	-33.323
0.102	-0.257057	0.366	-33.323
0.126	-0.242864	0.351	-33.245
0.144	-0.085299	0.351	-33.245
0.168	0.052984	0.274	-33.191
0.188	0.180591	0.166	-33.157
0.210	0.204307	0.060	-33.191
0.231	0.189924	0.002	-33.325
0.254	0.082523	359.986	-33.488
0.275	-0.075538	359.994	-33.647
0.297	-0.196334	0.029	-33.784
0.318	-0.129491	0.039	-33.868
0.340	0.100495	0.046	-33.899
0.360	0.141075	0.087	-33.911
0.384	0.100525	0.143	-33.930
0.405	-0.043950	0.198	-33.976
0.426	-0.180502	0.239	-34.055
0.448	-0.259365	0.245	-34.110
0.469	-0.228278	0.222	-34.089
0.490	0.027396	0.157	-33.952
0.515	0.090482	0.074	-33.781
0.533	-0.123679	0.010	-33.659
0.555	-0.134674	359.983	-33.592
0.576	0.068705	359.954	-33.500
0.598	0.210361	359.869	-33.346
0.622	0.157565	359.729	-33.193
0.645	0.091410	359.579	-33.137
0.665	-0.046351	359.469	-33.192
0.685	-0.195894	359.394	-33.262
0.706	-0.077613	359.344	-33.276
0.730	-0.014656	359.279	-33.210
0.751	-0.126402	359.199	-33.096
0.772	-0.145629	359.125	-33.002
0.795	0.018191	359.067	-32.964
0.815	0.064856	358.994	-32.965
0.838	-0.092581	358.923	-33.006
0.858	-0.178155	358.870	-33.014
0.881	-0.166487	358.897	-32.981
0.901	-0.163468	359.047	-32.936
0.924	-0.008209	359.262	-32.875
0.946	-0.119107	359.477	-32.816
0.967	-0.152355	359.625	-32.793
0.988	-0.326133	359.657	-32.833
1.010	-0.439901	359.594	-32.954
1.031	-0.160370	359.459	-33.056
1.054	0.131463	359.309	-33.023
1.076	0.188039	359.185	-32.865
1.096	0.409779	359.091	-32.679
1.118	0.590540	358.986	-32.480
1.139	0.673322	358.853	-32.309
1.162	0.678245	358.705	-32.249
1.185	0.400057	358.615	-32.384
