time(s)	globalZ	gyroAngle
2.472	-0.007885	0.000
2.495	0.021331	0.002
2.515	-0.052016	0.002
2.538	-0.056107	359.995
2.561	-0.051911	359.987
2.579	-0.068499	359.983
2.602	-0.052226	359.971
2.622	0.004857	359.931
2.643	0.028934	359.872
2.665	0.204375	359.834
2.686	0.200778	359.815
2.710	-0.061960	359.822
2.729	-0.277439	359.856
2.752	-0.367372	359.886
2.772	-0.319983	359.882
2.793	-0.047729	359.869
2.814	0.477268	359.879
2.836	0.498188	359.909
2.861	0.104657	359.939
2.879	-0.112962	359.960
2.901	-0.119582	359.974
2.922	-0.081752	0.004
2.943	-0.168256	0.053
2.964	-0.228638	0.094
2.985	-0.075006	0.109
3.008	-0.035273	0.124
3.032	-0.176548	0.177
3.050	-0.274715	0.237
3.071	-0.130434	0.287
3.093	0.167828	0.275
3.114	0.400039	0.275
3.135	0.258098	0.264
3.158	0.060127	0.270
3.179	-0.038511	0.289
3.200	-0.129446	0.298
3.221	-0.091337	0.280
3.242	-0.087679	0.263
3.266	-0.083496	0.260
3.285	-0.158140	0.276
3.308	0.070311	0.283
3.327	0.210236	0.278
3.349	0.165407	0.270
3.370	0.137329	0.265
3.392	0.092979	0.252
3.415	-0.089879	0.222
3.435	-0.147383	0.176
3.459	-0.051134	0.147
3.478	-0.062343	0.120
3.499	-0.001773	0.088
3.520	0.143969	0.054
3.541	0.121519	0.013
3.565	0.016549	359.951
3.584	0.078203	359.885
3.607	0.014033	359.835
3.628	-0.054302	359.817
3.649	-0.073041	359.817
3.670	0.050592	359.812
3.691	0.103839	359.780
3.716	0.187635	359.747
3.734	0.237402	359.722
3.756	0.053207	359.713
3.781	-0.190881	359.721
3.799	-0.218738	359.712
3.822	-0.111256	359.712
3.841	-0.037679	359.708
3.863	-0.050605	359.737
3.883	-0.002657	359.787
3.905	0.057857	359.842
3.927	0.136423	359.879
3.948	0.181691	359.890
3.970	0.123349	359.898
3.991	-0.004126	359.924
4.013	-0.034925	359.963
4.034	-0.001066	359.999
4.055	0.063818	0.024
4.080	-0.001397	0.046
4.098	-0.243811	0.076
4.121	-0.207714	0.125
4.141	-0.129466	0.157
4.162	0.015032	0.164
4.183	0.111619	0.137
4.205	0.139747	0.086
4.226	-0.018917	0.049
4.253	-0.093509	0.037
4.269	-0.022475	0.043
4.291	0.150569	0.043
4.312	0.175409	0.030
4.333	0.020022	0.013
4.355	-0.102591	0.008
4.376	-0.177915	0.003
4.400	0.085547	359.996
4.420	0.237434	359.988
4.440	0.121686	359.986
4.462	-0.089097	359.987
4.483	-0.078488	359.989
4.504	-0.072871	359.974
4.525	-0.093324	359.959
4.547	-0.011322	359.944
4.568	0.042728	359.944
4.590	-0.061456	359.955
4.611	-0.086510	359.973
4.632	-0.083996	359.980
4.654	0.040941	359.972
4.679	0.084654	359.974
4.698	0.209796	359.991
4.719	0.168776	360.000
4.740	0.093010	360.000
4.761	0.040691	0.019
4.782	-0.090045	0.045
4.804	-0.246120	0.073
4.825	-0.143958	0.096
4.846	0.092019	0.113
4.868	0.212491	0.134
4.889	0.166126	0.166
4.910	0.063275	0.207
4.932	0.012464	0.244
4.953	0.037735	0.268
4.977	0.103655	0.259
4.996	0.135868	0.244
5.019	0.081089	0.243
5.039	-0.092118	0.258
5.061	-0.199510	0.285
5.082	-0.060036	0.301
5.105	0.070781	0.310
5.126	0.219113	0.324
5.146	0.099801	0.341
5.175	-0.289448	0.362
5.188	-0.366096	0.384
5.210	-0.164346	0.385
5.232	-0.020349	0.375
5.252	0.095151	0.359
5.274	0.240574	0.322
5.295	0.226589	0.289
5.318	0.206002	0.269
5.340	0.134221	0.251
5.361	0.005096	0.242
5.381	-0.120217	0.248
5.402	-0.219669	0.262
5.424	-0.254376	0.277
5.445	-0.097886	0.294
5.466	0.200273	0.300
5.488	0.313788	0.302
5.509	0.208205	0.310
5.531	-0.074001	0.327
5.552	-0.224751	0.323
5.574	-0.014143	0.304
5.595	0.142554	0.304
5.618	0.069599	0.311
5.639	-0.157409	0.328
5.659	-0.271907	0.338
5.680	-0.281668	0.322
5.702	-0.124688	0.276
5.723	0.176221	0.235
5.744	0.243499	0.192
5.766	0.132310	0.143
5.789	0.127255	0.098
5.809	0.042038	0.046
5.831	-0.092433	359.999
5.851	-0.085239	359.953
5.873	0.056121	359.912
5.894	0.056954	359.882
5.915	-0.023484	359.850
5.938	0.059472	359.816
5.960	-0.032199	359.786
5.980	-0.207986	359.756
6.002	-0.164932	359.715
6.023	-0.017920	359.548
6.045	0.201021	359.548
6.066	0.287645	359.440
6.095	0.033830	359.348
6.108	-0.244232	359.292
6.130	-0.191527	359.250
6.151	-0.030029	359.201
6.173	0.015344	359.163
6.194	-0.092256	359.146
6.216	-0.053250	359.107
6.238	-0.155698	359.043
6.259	-0.066454	358.983
6.279	0.258733	358.932
6.301	0.277434	358.894
6.322	0.153217	358.881
6.345	0.072123	358.876
6.365	0.045010	358.870
6.389	-0.038005	358.851
6.407	-0.104231	358.828
6.429	-0.074710	358.811
6.450	-0.098925	358.805
6.473	-0.143364	358.801
6.494	-0.088021	358.794
6.515	0.039625	358.800
6.536	0.085816	358.819
6.561	0.034624	358.834
6.579	-0.014746	358.836
6.602	-0.009079	358.844
6.621	-0.086350	358.873
6.643	-0.208497	358.894
6.664	-0.175400	358.885
6.685	-0.017941	358.864
6.707	0.041239	358.845
6.729	0.010738	358.826
6.752	0.006928	358.811
6.771	0.108466	358.794
6.793	0.215171	358.770
6.815	0.227365	358.754
6.836	0.142999	358.730
6.861	0.131614	358.730
6.879	0.004234	358.738
6.901	-0.149755	358.738
6.921	-0.096097	358.759
6.946	-0.043385	358.759
6.963	-0.198207	358.811
6.986	-0.374429	358.871
7.006	-0.379462	358.919
7.028	-0.280788	358.956
7.049	-0.108070	358.968
7.071	0.060942	358.978
7.092	0.086599	359.005
7.113	0.041701	359.050
7.135	0.045172	359.080
7.159	0.216040	359.096
7.179	0.309856	359.124
7.200	0.142350	359.151
7.221	-0.113626	359.171
7.243	-0.146841	359.180
7.263	0.027089	359.179
7.284	0.170773	359.214
7.307	0.076954	359.272
7.329	-0.174293	359.337
7.349	-0.273612	359.337
7.370	-0.192010	359.368
7.391	-0.064264	359.385
7.415	0.071167	359.396
7.434	0.124325	359.404
7.456	0.102796	359.413
7.478	0.124449	359.419
7.498	0.121812	359.437
7.520	0.091337	359.461
7.541	0.058692	359.483
7.562	0.077446	359.510
7.585	0.063907	359.552
7.605	0.001651	359.552
7.626	-0.098798	359.562
7.648	-0.126542	359.578
7.671	-0.052634	359.598
7.690	0.109323	359.626
7.713	0.142611	359.656
7.733	0.100289	359.674
7.758	-0.003043	359.691
7.777	-0.131454	359.702
7.798	-0.119926	359.685
7.819	0.048637	359.673
7.841	0.208336	359.671
7.862	0.062238	359.691
7.884	-0.090290	359.715
7.904	-0.253699	359.715
7.926	-0.174079	359.720
7.947	0.100525	359.724
7.969	0.260665	359.717
7.990	0.168370	359.725
8.014	0.029795	359.739
8.033	-0.059979	359.739
8.055	-0.006056	359.737
8.076	0.115916	359.736
8.101	0.125793	359.734
8.118	-0.115398	359.724
8.141	-0.125875	359.715
8.163	-0.155930	359.715
8.183	-0.033726	359.737
8.210	0.161968	359.759
8.226	0.197767	359.776
8.247	0.001011	359.777
8.271	-0.222051	359.762
8.289	-0.120098	359.746
8.314	0.162517	359.730
8.332	0.184204	359.739
8.354	-0.013545	359.756
8.375	-0.105685	359.767
8.399	-0.006421	359.766
8.420	0.167596	359.750
8.439	0.249622	359.738
8.462	0.095143	359.738
8.482	-0.179157	359.754
8.504	-0.219031	359.787
8.525	0.009411	359.809
8.546	0.261571	359.819
8.568	0.177936	359.811
8.590	-0.077283	359.793
8.611	-0.328378	359.772
8.632	-0.157719	359.760
8.654	0.285451	359.754
8.674	0.521434	359.751
8.697	0.158238	359.725
8.719	-0.307123	359.725
8.739	-0.465170	359.691
8.761	-0.210535	359.672
8.782	0.111800	359.672
8.804	0.203040	359.675
8.824	0.160215	359.682
8.846	0.009625	359.684
8.868	-0.095678	359.676
8.888	-0.240074	359.663
8.910	-0.202431	359.641
8.931	0.043300	359.602
8.953	0.266623	359.499
8.974	0.176274	359.499
8.996	-0.153831	359.470
9.018	-0.113770	359.445
9.039	0.096401	359.410
9.059	0.105720	359.370
9.081	0.017452	359.343
9.102	-0.164368	359.309
9.124	-0.224835	359.254
9.145	0.015410	359.203
9.168	0.061203	359.163
9.188	0.028998	359.150
9.209	0.032417	359.153
9.230	0.106838	359.157
9.252	-0.011810	359.155
9.275	-0.154750	359.133
9.295	-0.205893	359.133
9.318	-0.133172	359.132
9.339	0.011471	359.159
9.359	0.134846	359.187
9.383	0.179164	359.203
9.402	0.012331	359.195
9.431	-0.070890	359.196
9.444	-0.217649	359.199
9.466	-0.004069	359.203
9.487	0.304191	359.210
9.509	0.297105	359.252
9.530	0.013853	359.252
9.551	-0.208224	359.264
9.573	-0.246133	359.278
9.594	-0.184313	359.297
9.616	0.029081	359.317
9.640	0.259572	359.315
9.658	0.215052	359.325
9.681	-0.168299	359.356
9.701	-0.307788	359.380
9.723	0.033663	359.361
9.744	0.432527	359.327
9.765	0.430886	359.309
9.787	0.125484	359.330
9.808	-0.132142	359.330
9.831	-0.176891	359.338
9.851	-0.176815	359.341
9.872	-0.145654	359.335
9.894	0.027826	359.323
9.915	0.121909	359.306
9.939	0.113271	359.306
9.958	0.057165	359.288
9.980	0.027056	359.269
10.001	0.014218	359.247
10.022	-0.052722	359.228
10.043	-0.090590	359.223
10.065	-0.019103	359.224
10.086	0.115093	359.198
10.108	0.086337	359.198
10.129	-0.075659	359.173
10.150	-0.104324	359.155
10.171	-0.038079	359.150
10.194	-0.063430	359.151
10.215	-0.145547	359.152
10.236	-0.006416	359.159
10.259	0.057827	359.126
10.279	0.053030	359.126
10.300	0.075127	359.123
10.321	-0.036403	359.113
10.344	-0.088591	359.108
10.364	-0.167000	359.111
10.387	0.042126	359.101
10.407	0.147724	359.077
10.428	0.098706	359.077
10.450	-0.144725	359.099
10.471	-0.165628	359.120
10.496	0.105824	359.129
10.514	0.411329	359.121
10.536	0.269061	359.107
10.558	-0.066684	359.092
10.578	-0.271694	359.094
10.601	-0.174085	359.107
10.621	0.185064	359.117
10.642	0.187958	359.136
10.664	-0.096761	359.166
10.686	-0.264223	359.184
10.706	-0.152664	359.181
10.728	0.127722	359.176
10.749	0.185086	359.186
10.771	0.093625	359.216
10.792	-0.080914	359.271
10.813	-0.295796	359.323
10.835	-0.321272	359.343
10.857	-0.143316	359.316
10.879	0.241360	359.239
10.899	0.676225	359.239
10.921	0.631901	359.233
10.949	0.101906	359.273
10.963	-0.304082	359.330
10.988	-0.311803	359.361
11.006	-0.016148	359.356
11.027	0.100255	359.345
11.048	0.027781	359.368
11.070	-0.365177	359.435
11.091	-0.423478	359.486
11.113	-0.260485	359.500
11.134	-0.034114	359.502
11.155	0.110315	359.478
11.184	0.174307	359.458
11.201	0.251305	359.456
11.220	0.214740	359.468
11.241	0.040572	359.476
11.262	-0.112343	359.479
11.284	-0.068237	359.477
11.305	0.068097	359.474
11.326	0.142235	359.477
11.348	0.025940	359.503
11.369	-0.102691	359.503
11.391	-0.103182	359.497
11.412	-0.098542	359.488
11.434	-0.096811	359.461
11.455	-0.089777	359.424
11.478	-0.061180	359.364
11.499	0.002510	359.319
11.519	0.117552	359.290
11.541	0.171465	359.239
11.562	0.077162	359.160
11.583	-0.033450	359.087
11.605	-0.126680	359.068
11.626	-0.206725	359.095
11.649	-0.185500	359.126
11.669	-0.030464	359.134
11.690	0.153257	359.122
