time(s)	globalZ	gyroAngle
3.383	0.033887	0.000
3.406	-0.088779	0.035
3.426	-0.258943	0.070
3.448	-0.021183	0.124
3.468	0.313024	0.124
3.490	0.171256	0.138
3.510	0.016755	0.165
3.532	0.015286	0.193
3.553	0.002974	0.214
3.574	-0.068961	0.231
3.596	0.098833	0.242
3.616	0.118444	0.240
3.638	-0.027926	0.247
3.659	-0.119595	0.254
3.682	-0.009676	0.260
3.701	0.027165	0.254
3.723	-0.041841	0.238
3.744	0.028072	0.219
3.766	0.032018	0.223
3.786	0.032012	0.242
3.807	-0.059478	0.258
3.828	-0.075113	0.284
3.850	0.052852	0.313
3.871	0.091504	0.343
3.892	0.086900	0.383
3.913	0.034118	0.427
3.935	-0.100364	0.487
3.956	-0.087678	0.509
3.977	-0.020736	0.509
3.998	-0.055194	0.538
4.019	-0.043152	0.572
4.040	-0.048671	0.623
4.062	-0.188746	0.669
4.084	-0.166544	0.703
4.104	0.038467	0.707
4.126	0.074177	0.681
4.148	-0.029374	0.644
4.167	-0.049332	0.618
4.190	0.047162	0.614
4.210	0.082020	0.615
4.231	-0.063156	0.607
4.252	-0.287092	0.609
4.274	-0.195136	0.644
4.298	-0.088952	0.710
4.316	-0.082660	0.710
4.337	0.104386	0.680
4.362	0.329090	0.631
4.381	0.301731	0.616
4.401	0.184471	0.656
4.423	0.181882	0.656
4.443	0.107282	0.669
4.465	-0.089428	0.667
4.486	-0.215551	0.667
4.507	-0.140496	0.648
4.527	-0.052448	0.618
4.549	-0.066260	0.574
4.570	-0.064939	0.547
4.593	-0.000106	0.547
4.613	0.011080	0.563
4.634	-0.013211	0.584
4.656	0.094648	0.604
4.676	0.093611	0.631
4.699	0.089030	0.671
4.719	0.193808	0.717
4.741	0.116957	0.743
4.761	-0.028414	0.747
4.782	-0.027410	0.744
4.803	0.043091	0.745
4.826	-0.008048	0.762
4.846	-0.088778	0.780
4.867	-0.107556	0.771
4.889	-0.116943	0.742
4.909	-0.126143	0.722
4.931	-0.074082	0.705
4.952	-0.005026	0.681
4.973	0.089939	0.655
4.994	0.091922	0.637
5.016	0.174737	0.626
5.036	0.225994	0.620
5.058	0.109233	0.637
5.079	-0.017949	0.663
5.100	-0.052853	0.684
5.122	-0.040503	0.675
5.143	-0.048128	0.656
5.164	-0.061599	0.646
5.186	0.035467	0.640
5.206	-0.018703	0.627
5.227	-0.026804	0.605
5.248	0.004008	0.598
5.270	0.078851	0.619
5.291	0.097632	0.619
5.312	0.054930	0.611
5.333	-0.020435	0.611
5.356	-0.132546	0.630
5.377	-0.107949	0.690
5.398	0.019384	0.690
5.418	0.042000	0.684
5.439	0.020968	0.671
5.460	0.002018	0.658
5.482	-0.009731	0.635
5.503	-0.001983	0.611
5.524	-0.016589	0.596
5.548	-0.018203	0.598
5.566	-0.055078	0.613
5.588	-0.105155	0.623
5.608	-0.011429	0.629
5.631	0.037197	0.630
5.651	-0.066260	0.642
5.672	-0.041510	0.662
5.694	0.102549	0.680
5.716	0.117424	0.703
5.736	-0.037741	0.729
5.757	-0.088367	0.768
5.779	-0.031477	0.805
5.800	-0.047056	0.829
5.821	-0.095958	0.833
5.842	-0.002056	0.846
5.867	0.078726	0.853
5.885	0.092164	0.849
5.906	0.189981	0.830
5.927	0.176021	0.813
5.948	0.071567	0.812
5.969	0.002483	0.829
5.990	0.029514	0.847
6.012	-0.043534	0.854
6.033	-0.130396	0.856
6.054	-0.211868	0.857
6.076	-0.128746	0.876
6.097	-0.042297	0.899
6.117	-0.026552	0.911
6.139	0.016837	0.930
6.160	0.068265	0.970
6.181	0.088852	1.014
6.202	0.097567	1.028
6.223	0.163090	1.011
6.248	0.096040	0.980
6.267	0.094624	0.907
6.288	0.146257	0.883
6.308	0.080583	0.883
6.331	-0.129196	0.871
6.351	-0.252573	0.864
6.372	-0.100180	0.861
6.393	0.012006	0.867
6.415	-0.048730	0.874
6.436	-0.250193	0.906
6.456	-0.281235	0.906
6.478	-0.050516	0.938
6.499	0.027596	0.969
6.522	-0.080544	0.991
6.541	-0.047201	1.013
6.563	0.024237	1.033
6.583	0.095432	1.052
6.606	0.245455	1.059
6.627	0.258584	1.064
6.648	0.292296	1.074
6.669	0.408974	1.109
6.690	0.577350	1.168
6.711	0.609013	1.237
6.732	0.313692	1.303
6.756	-0.125029	1.375
6.776	-0.474166	1.482
6.803	-0.584646	1.635
6.817	-0.615968	1.809
6.839	-0.751602	1.969
6.859	-0.761106	2.101
6.881	-0.442804	2.225
6.902	0.058892	2.363
6.923	0.282039	2.494
6.944	0.288114	2.575
6.966	0.360069	2.607
6.987	0.395284	2.637
7.008	0.334009	2.662
7.031	0.207042	2.636
7.050	0.052898	2.570
7.073	-0.175814	2.490
7.093	-0.300219	2.417
7.113	-0.264820	2.356
7.136	-0.283877	2.269
7.156	-0.194541	2.269
7.177	-0.017656	2.257
7.199	0.142636	2.282
7.220	0.292236	2.413
7.241	0.329634	2.413
7.262	0.309505	2.450
7.283	0.078963	2.480
7.306	-0.035821	2.537
7.326	-0.028462	2.614
7.348	-0.171018	2.669
7.368	-0.223572	2.681
7.390	-0.123163	2.669
7.411	0.043185	2.660
7.432	0.145483	2.637
7.453	0.177133	2.587
7.474	0.163507	2.542
7.498	0.046232	2.533
7.516	-0.070853	2.551
7.539	-0.078750	2.567
7.559	-0.100801	2.562
7.580	-0.110441	2.565
7.601	0.001155	2.593
7.623	-0.006989	2.626
7.644	-0.083350	2.651
7.666	-0.189835	2.675
7.686	-0.265041	2.710
7.714	-0.143640	2.744
7.728	0.158267	2.760
7.749	0.435582	2.753
7.772	0.225479	2.747
7.792	-0.118640	2.750
7.815	-0.113391	2.739
7.834	-0.041960	2.712
