time(s)	globalZ	gyroAngle
4.061	0.077494	0.000
4.062	0.084801	359.956
4.064	0.090892	359.916
4.065	0.198573	359.891
4.066	0.059500	359.848
4.068	-0.174557	359.768
4.069	-0.164886	359.688
4.071	0.036036	359.634
4.072	0.107300	359.574
4.073	-0.109338	359.496
4.074	-0.213883	359.429
4.075	-0.253189	359.403
4.075	-0.330319	359.399
4.076	-0.440805	359.385
4.077	-0.401056	359.365
4.078	-0.338687	359.352
4.078	-0.357181	359.341
4.079	-0.124744	359.301
4.080	-0.141987	359.219
4.080	-0.216448	359.104
4.081	-0.109286	358.957
4.082	0.047603	358.796
4.082	0.161161	358.673
4.083	0.187494	358.579
4.084	0.346970	358.470
4.084	0.492357	358.329
4.085	0.498318	358.175
4.086	0.433914	358.025
4.086	0.387543	357.966
4.087	0.576749	358.021
4.088	0.796124	358.148
4.088	0.527149	358.297
4.089	0.020308	358.437
4.090	-0.197601	358.556
4.090	-0.010871	358.673
4.091	0.086364	358.780
4.092	0.119212	358.891
4.093	-0.005866	359.015
4.093	0.126349	359.231
4.094	0.545819	359.533
4.095	0.698587	359.851
4.096	0.119944	0.114
4.096	-0.483875	0.274
4.097	-0.642161	0.285
4.098	-0.527521	0.285
4.098	-0.345856	0.133
4.099	-0.257675	0.011
4.100	-0.117833	359.985
4.101	0.240684	359.985
4.101	0.557226	0.069
4.102	0.374150	0.135
4.103	0.059094	0.137
4.103	-0.165812	0.107
4.104	-0.306498	0.018
4.105	-0.384616	359.847
4.106	-0.339111	359.639
4.106	-0.066289	359.502
4.107	0.171865	359.433
4.108	0.234997	359.262
4.109	0.320088	359.262
4.109	0.425775	359.159
4.110	0.376584	358.994
4.111	0.212924	358.770
4.111	0.096229	358.550
4.112	0.070791	358.390
4.113	0.139312	358.298
4.113	0.337994	358.260
4.114	0.287785	358.287
4.115	-0.033055	358.313
4.116	-0.337187	358.273
4.116	-0.039614	358.207
4.117	0.553091	358.152
4.118	0.245100	358.073
4.118	-0.516047	357.977
4.119	-0.706003	357.903
4.120	-0.357666	357.885
4.121	0.004957	357.933
4.121	-0.088285	358.007
4.122	-0.121633	358.009
4.123	0.061599	357.928
4.124	0.152209	357.928
4.125	0.147051	357.803
4.125	0.325489	357.595
4.126	0.361492	357.307
4.128	0.373986	357.004
4.129	0.254052	356.766
4.129	0.174939	356.495
4.130	0.051658	356.495
4.131	-0.017201	356.496
4.131	-0.404681	356.652
4.132	-0.633028	356.917
4.133	-0.518402	357.584
4.134	-0.340671	357.584
4.135	-0.198422	357.847
4.135	-0.068641	358.052
4.136	-0.000931	358.218
4.137	0.062499	358.351
4.138	0.070325	358.683
4.138	0.178988	358.683
4.140	0.152810	358.870
4.140	0.016995	359.024
4.141	-0.100446	359.132
4.142	-0.170024	359.249
