time(s)	globalZ	gyroAngle
1.681	-0.091902	0.000
1.703	-0.067051	359.960
1.723	-0.025254	359.942
1.745	0.070502	359.914
1.766	0.089668	359.801
1.788	0.119858	359.801
1.808	0.122360	359.760
1.829	0.190983	359.721
1.850	0.129176	359.690
1.873	-0.116662	359.679
1.895	-0.219216	359.690
1.914	-0.154770	359.709
1.937	-0.054178	359.738
1.956	0.139597	359.744
1.978	0.137933	359.703
1.999	0.039477	359.653
2.020	0.124269	359.624
2.041	0.180163	359.615
2.063	0.312635	359.616
2.084	-0.001915	359.646
2.105	-0.328741	359.646
2.126	-0.352259	359.659
2.158	-0.096138	359.656
2.171	-0.008705	359.624
2.189	0.297382	359.607
2.212	0.313636	359.603
2.233	0.013136	359.612
2.253	-0.074511	359.651
2.274	-0.078999	359.682
2.297	-0.088289	359.710
2.317	-0.028319	359.737
2.338	0.096122	359.737
2.359	0.011033	359.754
2.380	-0.119854	359.766
2.403	0.046195	359.769
2.423	0.044417	359.765
2.445	-0.030410	359.788
2.465	-0.079460	359.847
2.487	-0.026730	359.904
2.508	0.118301	359.928
2.531	0.149796	359.923
2.550	0.032296	359.907
2.571	-0.038271	359.898
2.594	-0.065448	359.905
2.613	-0.153808	359.908
2.637	-0.132382	359.904
2.656	-0.047785	359.905
2.677	-0.009937	359.917
2.698	0.044527	359.943
2.720	0.115263	359.946
2.740	0.035846	359.922
2.763	-0.018445	359.906
2.783	-0.025821	359.892
2.804	-0.093131	359.882
2.825	-0.035329	359.883
2.847	0.064336	359.882
2.870	0.004341	359.881
2.889	-0.122388	359.874
2.911	0.028043	359.869
2.933	0.093086	359.854
2.953	-0.039292	359.837
2.974	-0.003512	359.829
2.995	0.102887	359.818
3.016	-0.035382	359.787
3.037	-0.136881	359.756
3.059	-0.049607	359.775
3.080	0.038245	359.807
3.101	0.032531	359.804
3.123	0.213086	359.779
3.144	0.157912	359.730
3.165	0.051589	359.667
3.186	-0.016692	359.590
3.207	-0.110543	359.513
3.228	-0.059347	359.453
3.249	0.080032	359.407
3.273	-0.017382	359.380
3.294	-0.123166	359.375
3.313	0.118425	359.332
3.336	0.293771	359.272
3.355	0.074240	359.224
3.378	-0.030102	359.190
3.398	0.049235	359.147
3.419	-0.070386	359.108
3.440	-0.194514	359.081
3.463	-0.168421	359.066
3.483	-0.070073	359.066
3.504	-0.120420	359.044
3.525	0.030788	359.013
3.546	0.176480	358.976
3.568	0.129206	358.946
3.588	0.043648	358.928
3.612	-0.015919	358.924
3.631	-0.093343	358.920
3.653	-0.029357	358.914
3.673	0.078811	358.914
3.695	-0.057272	358.899
3.716	-0.191881	358.881
3.737	-0.046313	358.852
3.758	-0.011766	358.788
3.780	-0.082306	358.696
3.801	0.546039	358.763
3.823	0.165336	358.883
3.844	-0.092819	358.985
3.864	-0.132426	359.054
3.885	0.071637	359.037
3.907	0.049378	359.012
3.927	-0.000742	359.022
3.949	0.062828	359.070
3.971	0.193724	359.143
3.991	0.066882	359.187
4.013	-0.050487	359.199
4.035	0.007106	359.326
4.055	0.201768	359.326
4.078	0.304225	359.447
4.097	0.527701	359.437
4.119	0.236418	359.245
4.140	-0.358724	359.114
4.161	0.417894	358.956
4.183	0.592471	358.520
4.203	0.903406	357.960
4.224	1.325821	357.570
4.248	-0.259175	357.570
4.267	-0.589389	358.563
4.288	-0.516591	359.300
4.312	-1.827938	359.502
4.330	-1.467525	358.508
4.353	-0.545954	357.283
4.373	-0.771613	356.728
4.395	-1.384669	356.971
4.415	-0.305579	357.284
4.437	-0.121535	357.521
4.458	0.568278	357.918
4.479	0.100696	358.546
4.500	-0.814317	359.562
4.521	-0.950014	0.293
4.545	0.372902	359.944
4.564	-0.122185	359.267
4.586	-1.283922	358.938
4.606	-0.418231	358.688
4.628	1.493887	358.688
4.648	1.407054	358.633
4.670	1.025931	358.516
4.691	0.125238	358.241
4.713	-0.045253	357.737
4.733	-0.068011	357.435
4.755	0.234345	357.342
4.776	-0.143063	357.419
4.799	-0.740997	356.846
4.819	-0.579317	356.846
4.839	-0.405057	356.687
4.861	-0.193326	356.649
4.883	0.305851	356.362
4.903	0.431211	356.015
4.924	-0.094680	355.613
4.945	-0.437912	355.362
4.967	-0.418637	355.343
4.987	-0.430398	355.394
5.009	-0.383060	355.429
5.030	-0.084974	355.586
5.052	0.045453	356.175
5.073	0.150309	356.175
5.094	0.080039	356.288
5.114	0.110637	356.407
5.136	0.071471	356.543
5.157	-0.148711	356.698
5.178	0.215088	356.736
5.200	0.359520	356.700
5.221	-0.105268	356.730
5.245	-0.230115	356.837
5.263	-0.191247	356.932
5.285	-0.255723	356.982
5.306	-0.143381	356.982
5.327	-0.173262	357.057
5.348	-0.222615	357.143
5.369	-0.281728	357.269
5.392	-0.173923	357.401
5.414	-0.190812	357.530
5.433	-0.297857	357.613
5.454	-0.131750	357.692
5.475	0.063031	357.758
5.496	0.015494	357.805
5.519	0.015037	357.840
5.539	0.090130	357.841
5.560	-0.037413	357.837
5.581	-0.005528	357.831
5.603	0.030622	357.820
5.624	0.027827	357.787
5.645	-0.024739	357.741
5.666	0.131383	357.772
5.687	-0.098157	357.852
5.708	-0.199737	357.960
5.730	-0.100084	358.114
5.753	0.002284	358.114
5.773	-0.099878	358.232
5.795	-0.100033	358.232
5.815	-0.073125	358.246
5.836	0.021503	358.220
5.857	0.044446	358.191
5.878	-0.000299	358.191
