time(s)	globalZ	gyroAngle
4.111	-0.035821	327.581
4.113	-0.172895	327.638
4.114	-0.278879	327.694
4.115	-0.085536	327.726
4.116	0.181428	327.774
4.118	0.002978	327.808
4.119	-0.177130	327.831
4.121	0.118801	327.861
4.122	0.363871	327.891
4.123	-0.019194	327.892
4.124	-0.202683	327.901
4.125	-0.150103	327.946
4.126	0.056551	328.000
4.127	0.200056	328.047
4.128	0.055343	328.060
4.129	-0.117911	328.058
4.129	0.022287	328.085
4.130	0.111166	328.122
4.131	-0.016319	328.129
4.131	-0.086810	328.111
4.132	-0.002733	328.109
4.133	0.060127	328.134
4.133	0.159899	328.156
4.134	0.000186	328.150
4.135	-0.117211	328.144
4.135	-0.041174	328.147
4.136	-0.018463	328.159
4.137	-0.191468	328.169
4.137	-0.152563	328.169
4.138	0.081900	328.189
4.138	0.302061	328.218
4.139	0.217125	328.219
4.140	-0.037004	328.145
4.140	-0.004584	328.039
4.141	0.104049	327.959
4.142	-0.031409	327.926
4.142	-0.196432	327.921
4.143	0.010294	327.926
4.144	0.122716	327.949
4.145	0.064346	327.975
4.145	0.019061	328.002
4.146	-0.026952	328.014
4.147	0.087246	328.027
4.148	0.242314	328.087
4.149	-0.061075	328.087
4.149	-0.240505	328.070
4.150	-0.072143	328.030
4.151	0.079775	327.999
4.151	-0.015468	327.984
4.152	-0.153221	327.963
4.153	-0.025141	327.937
4.153	0.107278	327.929
4.154	-0.008961	327.910
4.155	-0.105474	327.897
4.156	-0.040556	327.902
4.156	0.122381	327.912
4.157	0.233816	327.912
4.158	0.164593	327.854
4.159	0.140285	327.795
4.159	0.009077	327.771
4.160	-0.087439	327.745
4.161	-0.091458	327.721
4.162	-0.115280	327.723
4.163	-0.044483	327.746
4.163	-0.064561	327.746
4.164	-0.014578	327.735
4.165	0.058116	327.742
4.165	0.015282	327.745
4.166	-0.050008	327.720
4.167	0.165491	327.696
4.168	0.200238	327.686
4.168	0.059212	327.678
4.169	-0.057898	327.665
4.170	-0.117277	327.629
4.171	-0.011881	327.577
4.172	0.072053	327.535
4.173	0.049167	327.536
4.173	-0.024264	327.552
4.174	-0.133055	327.529
4.175	-0.128340	327.519
4.176	0.032392	327.560
4.177	0.123826	327.614
4.178	0.116296	327.639
4.178	0.105399	327.627
4.179	0.052226	327.594
4.180	0.096720	327.567
4.181	0.072718	327.565
4.182	-0.046239	327.567
4.183	-0.169391	327.557
4.183	-0.044790	327.559
4.184	0.121444	327.578
4.185	0.037117	327.559
4.186	-0.391478	327.504
4.186	-0.228641	327.479
4.187	-0.178167	327.509
4.188	0.259257	327.490
4.189	0.091996	327.434
4.189	0.026575	327.403
4.190	-0.005244	327.403
4.191	0.219260	327.374
4.192	0.172767	327.330
4.193	0.106326	327.295
4.194	-0.108200	327.298
4.195	-0.091246	327.332
4.227	0.067541	327.332
4.250	0.213886	327.340
4.257	-0.058941	327.382
4.277	-0.255162	327.459
4.303	-0.037807	327.519
4.319	0.166209	327.516
4.340	0.021342	327.457
4.362	-0.008966	327.409
4.383	-0.147140	327.403
4.406	-0.085897	327.397
4.425	0.003762	327.389
4.448	0.040488	327.391
4.467	0.027485	327.400
4.489	0.050014	327.404
4.510	0.096471	327.410
4.533	0.001966	327.390
4.553	-0.103668	327.356
4.575	-0.048959	327.350
4.595	0.062150	327.385
4.616	0.044486	327.427
4.637	-0.178527	327.430
4.659	-0.061639	327.415
4.680	0.097503	327.422
4.701	-0.005474	327.447
4.723	-0.176597	327.451
4.743	-0.147639	327.435
4.765	0.015529	327.463
4.786	0.118531	327.516
4.807	0.179690	327.532
4.828	0.147617	327.525
4.849	0.102417	327.538
4.870	0.106199	327.585
4.891	0.012221	327.616
4.913	-0.182410	327.548
4.935	-0.215447	327.548
4.957	-0.153112	327.511
4.977	-0.186232	327.521
4.999	-0.209243	327.556
5.019	0.087880	327.604
5.041	0.368336	327.642
5.061	0.477011	327.625
5.083	0.799946	327.596
5.105	0.757194	327.596
5.125	0.368300	327.616
5.147	0.218355	327.610
5.167	0.103186	327.599
5.190	-0.306308	327.613
5.211	-0.559456	327.653
5.232	-0.452253	327.652
5.252	-0.210886	327.652
5.274	-0.263859	327.568
5.295	-0.466099	327.477
5.316	-0.401833	327.443
5.337	0.136213	327.533
5.358	0.403083	327.683
