time(s)	globalZ	gyroAngle
4.123	0.253371	107.242
4.124	0.261647	107.106
4.126	0.128731	106.985
4.128	0.210617	106.892
4.129	0.289329	106.804
4.130	0.358119	106.695
4.132	0.494995	106.564
4.133	0.516421	106.413
4.134	0.658257	106.258
4.134	0.524760	106.124
4.136	0.123805	106.031
4.137	-0.245160	106.004
4.138	-0.330775	106.009
4.138	-0.217200	106.026
4.139	-0.300386	106.054
4.140	-0.495848	106.094
4.141	-0.524187	106.137
4.142	-0.444763	106.184
4.143	-0.228870	106.235
4.144	-0.160157	106.266
4.144	-0.144411	106.275
4.145	-0.014618	106.289
4.146	0.247476	106.342
4.146	0.330770	106.404
4.147	0.136810	106.428
4.148	-0.085973	106.422
4.149	-0.204473	106.408
4.150	-0.187042	106.402
4.151	-0.019841	106.414
4.152	0.224953	106.411
4.153	0.193977	106.376
4.154	0.065253	106.318
4.155	0.012718	106.274
4.156	-0.000066	106.274
4.156	0.056224	106.283
4.157	0.113185	106.322
4.158	-0.058480	106.379
4.158	-0.142602	106.423
4.159	-0.007016	106.451
4.160	0.143239	106.448
4.160	0.004060	106.430
4.161	-0.205189	106.429
4.162	-0.120633	106.429
4.163	0.016507	106.468
4.163	0.032619	106.497
4.164	-0.108386	106.494
4.165	-0.045779	106.478
4.165	0.117087	106.469
4.166	0.171892	106.469
4.167	-0.024289	106.428
4.167	-0.131907	106.374
4.168	-0.029376	106.346
4.169	-0.019547	106.367
4.170	-0.089895	106.397
4.171	0.009088	106.392
4.172	0.051750	106.373
4.172	-0.001208	106.337
4.173	0.000571	106.310
4.174	-0.089912	106.351
4.175	0.047318	106.329
4.176	0.470229	106.299
4.177	0.291670	106.352
4.177	-0.188481	106.393
4.178	0.019083	106.402
4.179	0.185788	106.403
4.180	0.107799	106.407
4.180	-0.039336	106.443
4.181	0.033042	106.494
4.182	-0.105326	106.543
4.182	-0.160937	106.559
4.183	0.051161	106.576
4.184	-0.016708	106.590
4.185	-0.118611	106.628
4.185	-0.152810	106.665
4.186	-0.118015	106.692
4.187	-0.146103	106.701
4.188	-0.136153	106.712
4.189	-0.038693	106.746
4.189	0.103420	106.776
4.190	-0.003825	106.776
4.191	-0.106564	106.774
4.192	0.080363	106.765
4.192	0.240927	106.743
4.193	0.022574	106.716
4.194	-0.189183	106.740
4.194	-0.242427	106.740
4.195	-0.153380	106.774
4.196	-0.040631	106.785
4.197	0.018984	106.778
4.197	-0.089971	106.760
4.198	-0.194231	106.745
4.199	-0.112682	106.731
4.200	0.016447	106.704
4.200	0.135072	106.666
4.201	0.138523	106.622
4.202	0.109185	106.582
4.202	0.307554	106.527
4.205	0.358952	106.447
4.205	0.270347	106.346
4.206	0.278134	106.271
4.207	0.354770	106.241
4.208	0.227302	106.236
4.209	-0.045354	106.243
4.209	-0.029317	106.259
4.210	0.178798	106.304
4.211	0.084831	106.304
4.244	-0.146428	106.247
4.262	-0.084795	106.247
4.274	0.142178	106.246
4.295	0.100768	106.291
4.317	-0.094553	106.352
4.339	-0.090440	106.404
4.359	-0.037252	106.457
4.380	0.004383	106.542
4.401	0.040889	106.638
4.424	-0.055003	106.719
4.444	-0.073697	106.768
4.465	0.060537	106.819
4.486	0.062462	106.859
4.507	-0.035608	106.893
4.529	-0.022762	106.897
4.550	-0.001925	106.903
4.571	-0.014738	106.918
4.593	-0.078629	106.938
4.615	0.014215	106.954
4.635	0.070775	106.956
4.656	-0.076792	106.960
4.677	-0.276165	106.993
4.698	-0.226475	107.055
4.719	-0.007386	107.098
4.740	0.072831	107.104
4.762	0.019916	107.069
4.784	0.122665	107.029
4.805	0.331615	107.002
4.825	0.180563	106.985
4.848	-0.051620	106.975
4.868	-0.116583	106.976
4.889	-0.022423	106.987
4.910	0.019362	106.989
4.931	-0.014174	106.975
4.954	-0.168719	106.949
4.974	-0.180062	106.930
4.995	-0.083990	106.930
5.016	-0.050951	106.926
5.038	0.020657	106.847
5.058	0.090797	106.847
5.081	0.130751	106.809
5.101	0.174615	106.766
5.123	0.182998	106.718
5.144	0.140252	106.687
5.164	0.193899	106.688
5.186	0.271926	106.721
5.207	0.074368	106.759
5.228	-0.408483	106.817
5.249	-0.691053	106.945
5.271	-0.461215	107.113
5.292	-0.188897	107.243
5.316	-0.037361	107.311
5.334	0.126894	107.353
5.357	0.279191	107.404
5.376	0.367044	107.455
5.398	0.226523	107.473
5.419	0.077181	107.452
5.440	0.124937	107.410
5.461	0.197552	107.367
5.484	0.140935	107.309
5.506	-0.149451	107.238
5.525	-0.422578	107.164
5.548	-0.363611	107.116
5.567	-0.215090	107.104
5.589	-0.115075	107.117
5.610	-0.026158	107.142
5.632	0.079293	107.172
5.652	0.117116	107.197
5.674	0.100981	107.227
5.694	0.077460	107.267
5.716	0.127653	107.285
5.737	0.116633	107.284
5.758	-0.020448	107.277
5.779	-0.118644	107.306
5.800	0.000903	107.389
5.823	0.240594	107.467
5.844	0.259021	107.485
5.864	0.057212	107.450
5.885	-0.076030	107.397
5.907	-0.189719	107.362
5.928	-0.244827	107.339
5.949	-0.447130	107.302
5.970	-0.654635	107.258
5.991	-0.464616	107.220
6.016	-0.058873	107.185
6.034	0.160171	107.121
6.057	0.353927	107.034
6.076	0.604572	106.943
6.099	0.878120	106.845
6.119	0.945701	106.741
6.140	0.692976	106.650
6.161	0.181892	106.602
6.182	-0.325233	106.580
6.204	-0.527500	106.560
6.225	-0.441036	106.533
6.246	-0.330068	106.525
6.267	-0.303257	106.558
6.290	-0.307894	106.636
6.309	-0.181682	106.734
6.332	-0.029697	106.734
6.352	-0.073022	107.045
6.374	-0.106127	107.045
6.394	0.000331	107.404
6.415	0.121025	107.557
6.436	0.168653	107.659
6.458	0.148259	107.741
6.480	0.141882	107.833
6.500	-0.005224	107.930
6.523	-0.034895	108.009
6.542	0.006440	108.057
6.565	0.010945	108.091
6.585	0.016544	108.101
6.607	-0.085602	108.085
6.627	-0.219452	108.049
6.649	-0.246489	108.021
6.670	-0.081897	107.999
6.691	0.036868	107.961
6.712	0.021134	107.906
6.734	-0.013083	107.833
6.756	0.040200	107.768
6.777	0.002606	107.663
6.797	0.003148	107.663
6.818	0.073401	107.594
6.840	0.043037	107.518
6.860	-0.061758	107.439
6.881	-0.043560	107.394
6.906	0.009724	107.378
6.924	0.028473	107.337
6.945	0.090387	107.257
6.966	0.072452	107.158
6.989	0.033010	107.067
7.009	0.032453	106.997
7.031	-0.051813	106.888
7.052	-0.068689	106.888
7.073	0.073217	106.853
7.094	0.181714	106.835
7.115	0.028407	106.817
7.136	-0.108894	106.774
7.157	-0.075815	106.715
7.178	-0.062827	106.668
7.200	-0.071756	106.657
7.222	-0.111509	106.673
7.242	-0.031910	106.692
7.264	0.220604	106.704
7.284	0.406388	106.699
7.307	0.367876	106.675
7.327	0.204879	106.645
7.348	0.040756	106.636
7.369	-0.113730	106.646
7.390	-0.310105	106.660
7.412	-0.232054	106.694
7.435	0.009474	106.844
7.454	0.019971	106.844
7.475	-0.139073	106.907
7.498	-0.190522	106.929
7.517	-0.154037	106.941
7.539	-0.120943	106.975
7.560	-0.095791	107.040
7.581	-0.204950	107.100
7.602	-0.260859	107.137
7.624	-0.045934	107.162
7.645	0.134592	107.211
7.666	0.023574	107.260
7.694	-0.126592	107.294
7.708	-0.094215	107.340
7.731	0.035625	107.417
7.751	0.170433	107.512
7.772	0.201866	107.609
7.794	0.069441	107.696
7.814	-0.020831	107.746
7.835	-0.003429	107.774
7.857	0.007330	107.855
7.878	-0.146192	107.855
7.899	-0.245547	107.903
7.923	-0.334303	107.959
7.941	-0.348049	108.062
7.964	-0.217790	108.191
7.984	-0.136033	108.283
8.006	-0.122728	108.329
8.027	-0.163873	108.342
8.048	-0.256733	108.295
8.069	-0.137723	108.191
8.090	0.203066	107.965
8.111	0.395978	107.965
8.132	0.497652	107.900
8.157	0.661761	107.872
8.175	0.727490	107.872
8.198	0.440984	107.904
8.217	-0.047432	107.973
8.239	-0.253909	108.072
8.260	-0.172175	108.179
8.281	-0.133817	108.259
8.302	-0.108835	108.299
8.324	-0.019992	108.290
8.344	0.072582	108.223
8.365	0.169388	108.141
8.387	0.546935	108.132
8.408	0.671464	108.218
8.430	0.542258	108.373
8.450	0.295907	108.557
8.472	0.053931	108.756
8.494	-0.196509	108.892
8.515	-0.311460	108.838
8.535	-0.347573	108.597
8.556	-0.070379	108.232
8.577	0.049278	107.875
8.601	-0.147138	107.625
8.620	-0.269933	107.501
8.641	-0.487456	107.505
8.664	-0.787343	107.607
8.684	-0.965563	107.743
8.706	-1.105480	108.063
8.726	-1.085614	108.063
8.747	-0.643569	108.118
8.768	0.172427	108.080
8.789	0.775309	108.050
8.810	1.005792	108.056
8.832	0.955881	108.067
8.856	0.893705	108.071
8.875	0.704427	108.040
8.895	0.469621	108.040
8.917	0.217483	108.017
8.939	-0.031004	108.016
8.959	-0.243412	108.047
8.980	-0.540258	108.126
9.001	-0.903325	108.287
9.025	-0.901847	108.892
9.044	-0.815503	108.892
9.065	-0.887992	109.244
9.086	-0.803869	109.556
9.107	-0.556457	109.818
9.131	-0.227778	110.082
9.150	-0.123708	110.367
9.171	-0.110703	110.631
9.192	-0.022909	110.848
9.214	0.157183	111.026
9.234	0.328459	111.114
9.256	0.568026	111.077
9.277	0.685313	110.988
9.298	0.488775	110.973
9.319	0.244509	111.113
9.340	0.001988	111.380
9.362	-0.546937	111.717
9.384	-1.013918	112.073
9.405	-1.074298	112.423
9.425	-0.951742	112.718
9.447	-0.915769	112.895
9.468	-0.885144	112.971
9.490	-0.527296	113.052
9.510	0.091465	113.052
9.531	0.435510	113.186
9.555	0.456619	113.365
9.574	0.619983	113.365
9.597	0.842510	113.409
9.616	0.826812	113.459
9.639	0.720298	113.460
9.659	0.334467	113.460
9.681	0.068930	113.332
9.701	0.009106	113.105
9.722	0.030200	112.836
9.744	0.152946	112.591
9.764	0.190940	112.390
9.785	0.180359	112.227
9.807	0.215177	112.069
9.828	0.211510	111.835
9.849	0.215430	111.544
9.872	0.390763	111.270
9.892	0.189284	111.001
9.914	-0.117098	110.750
9.934	-0.152136	110.562
9.955	-0.025809	110.528
9.976	-0.197994	110.709
9.997	-0.532136	110.976
10.019	-0.949667	111.168
10.041	-0.895347	111.145
10.061	-0.591089	111.145
10.082	-0.413496	110.858
10.105	-0.400079	110.400
10.128	-0.214552	109.922
10.147	0.027785	109.542
10.167	0.045439	109.302
10.188	-0.229077	109.262
10.210	-0.376762	109.377
10.231	-0.544950	109.554
10.252	-0.083053	109.780
10.274	0.292329	109.989
10.294	0.386257	110.120
10.316	0.317965	110.120
10.339	0.214121	110.036
10.359	0.216287	109.887
10.380	0.236354	109.690
10.400	0.218534	109.544
10.425	-0.003607	109.530
10.444	-0.176609	109.518
10.464	-0.265546	109.299
10.485	-0.394195	108.909
10.507	-0.357301	108.053
10.527	-0.283180	108.053
10.549	-0.103265	107.668
10.572	0.324266	107.350
10.591	0.223637	107.104
10.614	-0.047887	106.950
10.634	-0.172595	106.826
10.656	-0.237089	106.733
10.676	-0.259349	106.681
10.697	-0.258576	106.624
10.719	-0.012908	106.537
10.739	0.099937	106.537
10.761	-0.013132	106.616
10.782	-0.088824	106.720
10.805	-0.252179	106.831
10.825	-0.507689	106.949
10.846	-0.403383	106.949
10.907	0.039546	107.230
10.908	0.133470	107.390
10.910	-0.056623	107.448
10.939	-0.038200	107.493
10.951	0.099969	107.467
10.974	0.116586	107.443
